RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
BBEL;;BBK-2-S-BSE;BBK-2-S-BSE
BSE B;BBEL-BSE;;
BSE;BSE B-442/S-BMIP;;
BMIP;BSE-202/2-BSAM;;
BSAM;BMIP-1-BGH;;
B7813;BSAM-BGH;;
B7822;BSAM-BGH;;
B7815;BSAM-BGH;;
B7824;BSAM-BGH;;
BSTH;BSAM-BGH;;
BGH;BSAM-11-BGH;;
BGH M;BGH-11-BGHO;;
BGHO;BGH-BAG W;;
B1083;BGHO-BDDF;;
B2083;BGHO-BDDF;;
B2086;BGHO-BDDF;;
B1086;BGHO-BDDF;;
B1087;BGHO-BDDF;;
B2087;BGHO-BDDF;;
B2088;BGHO-BDDF;;
B1088;BGHO-BDDF;;
B1089;BGHO-BDDF;;
B2089;BGHO-BDDF;;
B2090;BGHO-BDDF;;
B1090;BGHO-BDDF;;
BDDF;;BGH-1-BAG W;BGH-1-BAG W
