RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
BBEL;;BBK-2-S-BSE;BBK-2-S-BSE
BSE B;BBEL-BSE;;
BSE;BSE B-442/S-BMIP;;
BMIP;BSE-202/2-BWHO;;
B4023;BMIP-BWHA;;
B4013;BMIP-BWHA;;
BWHO;BMIP-BRC;;
BWHA;BMIP-BRC;;
BRC;BWHO-972-BDW;;
BDW;BRC-942-BGBSO;;
BGBSO;BDW-BWS;;
BQGB;BGBSO-BWS;;
BWS;BGBSO-336-BGD S H50;;
B 108;BWS-BGD S;;
B 107;BWS-BGD S;;
BGD S;BWS-S-BGD R;;
BGD R;BGD S-11-BHLRN;;
BHLRN;BGD R-103-BCHG;;
BCHG;BHLRN-113/133-BMOA;;
B8417;BCHG-BMOA;;
B8415;BCHG-BMOA;;
B8418;BCHG-BMOA;;
B8416;BCHG-BMOA;;
BMOA;;BCHG-133/333/363-BGS;BCHG-133/333/363-BGS
