RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
BPOT;;BWUR-12/2/22-BSAT D2;BWUR-12/2/22-BSAT D2
B9704;BPOT-BSAT;;
B9702;BPOT-BSAT;;
BSAT;BPOT-1-BGOL;;
BMQU;BSAT-BGOL;;
B9803;BSAT-BGOL;;
B9804;BSAT-BGOL;;
BGOL;BSAT-4-BAWP D3;;
BAWP;BGOL-BNES;;
B7324;BAWP-BNES;;
B7317;BAWP-BNES;;
B7319;BAWP-BNES;;
B7326;BAWP-BNES;;
BNES;BAWP-BWHO;;
BWHA;BNESO-BMIP;;
BWHO;BRC-BMIP;;
B4013;BWHA-BMIP;;
B4023;BWHA-BMIP;;
BMIP;BWHO-1/201-BSE;;
BSE;BMIP-241/R-BSE B;;
BSE B;BSE-BBEL;;
BBEL;;BSE-R-1-BBK;BSE-R-1-BBK
