RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
LB  G;;LBZ(1202)-1102-BWE;LBZ(1202)-1102-BWE
L1936;LB-BWE;;
L1934;LB-BWE;;
L1932;LB-BWE;;
L1930;LB-BWE;;
L1931;LB-BWE;;
L1929;LB-BWE;;
L1924;LB-BWE;;
L1922;LB-BWE;;
L1923;LB-BWE;;
L1921;LB-BWE;;
L1920;LB-BWE;;
L1918;LB-BWE;;
L1919;LB-BWE;;
L1917;LB-BWE;;
LGOE;LB-BWE;;
L1915;LB-BWE;;
L1913;LB-BWE;;
LGZ;LB-1502-BWE;;
L1908;LB-BWE;;
L1906;LB-BWE;;
L1907;LB-BWE;;
L1905;LB-BWE;;
L1902;LB-BWE;;
L1904;LB-BWE;;
L 943;LB-BWE;;
L 941;LB-BWE;;
YBLWG;LB-BWE;;
BWE;LGZ-732-BGOL;;
BGOL;BWE-2-BSAT;;
B9804;BGOL-BSAT;;
B9803;BGOL-BSAT;;
BMQU;BGOL-BSAT;;
BSAT;BGOL-2-BPOT;;
B9702;BSAT-BPOT;;
B9704;BSAT-BPOT;;
BPOT;;BSAT-23/3/12-BAWF;BSAT-23/3/12-BAWF
