RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
BPOT;;BWUR-12/2/22-BSAT D2;BWUR-12/2/22-BSAT D2
B9704;BPOT-BSAT;;
B9702;BPOT-BSAT;;
BSAT;BPOT-1-BGOL;;
BMQU;BSAT-BGOL;;
B9803;BSAT-BGOL;;
B9804;BSAT-BGOL;;
BGOL;BSAT-3-BWE D2;;
BWE;BGOL-731-LGZ;;
YBLWG;BWE-LB;;
L 941;BWE-LB;;
L 943;BWE-LB;;
L1904;BWE-LB;;
L1902;BWE-LB;;
L1905;BWE-LB;;
L1907;BWE-LB;;
L1906;BWE-LB;;
L1908;BWE-LB;;
LGZ;BWE-1501-LB;;
L1913;LWE-LB;;
L1915;BWE-LB;;
LGOE;BWE-LB;;
L1917;BWE-LB;;
L1919;BWE-LB;;
L1918;BWE-LB;;
L1920;BWE-LB;;
L1921;BWE-LB;;
L1923;BWE-LB;;
L1922;BWE-LB;;
L1924;BWE-LB;;
L1929;BWE-LB;;
L1931;BWE-LB;;
L1930;BWE-LB;;
L1932;BWE-LB;;
L1934;BWE-LB;;
L1936;BWE-LB;;
LB  G;;BWE-1101-LBZ(1201);BWE-1101-LBZ(1201)
