RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
LB  G;;LBZ(1202)-1102-BWE;LBZ(1202)-1102-BWE
L1936;LB-BWE;;
L1934;LB-BWE;;
L1932;LB-BWE;;
L1930;LB-BWE;;
L1931;LB-BWE;;
L1929;LB-BWE;;
L1924;LB-BWE;;
L1922;LB-BWE;;
L1923;LB-BWE;;
L1921;LB-BWE;;
L1920;LB-BWE;;
L1918;LB-BWE;;
L1919;LB-BWE;;
L1917;LB-BWE;;
LGOE;LB-BWE;;
L1915;LB-BWE;;
L1913;LB-BWE;;
LGZ;LB-1502-BWE;;
L1908;LB-BWE;;
L1906;LB-BWE;;
L1907;LB-BWE;;
L1905;LB-BWE;;
L1902;LB-BWE;;
L1904;LB-BWE;;
L 943;LB-BWE;;
L 941;LB-BWE;;
YBLWG;LB-BWE;;
BWE;LGZ-732-BWP;;
BWP G;BWE-642/622-BPD;;
BWP;BWE-622-BPD;;
BWPO;BWP-BPD;;
BPDC;BWP-BPD;;
B 916;BPDC-BPD;;
B 913;BWP-BPD;;
BPD;BWP-134-BGBS;;
BGBS;BPD-724-BGBSO;;
BGBSO;BPD-BWS;;
BQGB;BGBSO-BWS;;
BWS;BGBSO-336-BGD S H50;;
B 108;BWS-BGD S;;
B 107;BWS-BGD S;;
BGD S;BWS-S-BGD R;;
BGD R;BGD S-11-BHLRN;;
BHLRN;BGD R-103-BCHG;;
BCHG;BHLRN-113/133-BMOA;;
B8417;BCHG-BMOA;;
B8415;BCHG-BMOA;;
B8418;BCHG-BMOA;;
B8416;BCHG-BMOA;;
BMOA;;BCHG-133/333/363-BGS;BCHG-133/333/363-BGS
