RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
BMOA;;BWDG-364/334/134-BCHG;BWDG-364/334/134-BCHG
B8416;BMOA-BCHG;;
B8418;BMOA-BCHG;;
B8415;BMOA-BCHG;;
B8417;BMOA-BCHG;;
BCHG;BMOA-134/111-BHLRN;;
BHLRN;BCHG-104-BGD R;;
BGD R;BHLRN-9-BGD S;;
BGD S;BGD R-R-BWS;;
B 107;BGD S-BWS;;
B 108;BGD S-BWS;;
BWS;BGD S-335-BGBSO;;
BQGB;BWS-BGBSO;;
BGBSO;BWS-BPD;;
BGBS;BGBSO-723-BPD;;
BPD;BGBS-133 -BWP;;
B 913;BPD-BWP;;
B 916;BPD-BPDC;;
BPDC;BPD-BWP;;
BWPO;BPD-BWP;;
BWP;BPD-621-BWE;;
BWP G;BWP-641-BWE;;
BWE;BWP-731-LGZ;;
YBLWG;BWE-LB;;
L 941;BWE-LB;;
L 943;BWE-LB;;
L1904;BWE-LB;;
L1902;BWE-LB;;
L1905;BWE-LB;;
L1907;BWE-LB;;
L1906;BWE-LB;;
L1908;BWE-LB;;
LGZ;BWE-1501-LB;;
L1913;LWE-LB;;
L1915;BWE-LB;;
LGOE;BWE-LB;;
L1917;BWE-LB;;
L1919;BWE-LB;;
L1918;BWE-LB;;
L1920;BWE-LB;;
L1921;BWE-LB;;
L1923;BWE-LB;;
L1922;BWE-LB;;
L1924;BWE-LB;;
L1929;BWE-LB;;
L1931;BWE-LB;;
L1930;BWE-LB;;
L1932;BWE-LB;;
L1934;BWE-LB;;
L1936;BWE-LB;;
LB  G;;BWE-1101-LBZ(1201);BWE-1101-LBZ(1201)
