RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
LB  G;;LBZ(1202)-1102-BWE;LBZ(1202)-1102-BWE
L1936;LB-BWE;;
L1934;LB-BWE;;
L1932;LB-BWE;;
L1930;LB-BWE;;
L1931;LB-BWE;;
L1929;LB-BWE;;
L1924;LB-BWE;;
L1922;LB-BWE;;
L1923;LB-BWE;;
L1921;LB-BWE;;
L1920;LB-BWE;;
L1918;LB-BWE;;
L1919;LB-BWE;;
L1917;LB-BWE;;
LGOE;LB-BWE;;
L1915;LB-BWE;;
L1913;LB-BWE;;
LGZ;LB-1502-BWE;;
L1908;LB-BWE;;
L1906;LB-BWE;;
L1907;LB-BWE;;
L1905;LB-BWE;;
L1902;LB-BWE;;
L1904;LB-BWE;;
L 943;LB-BWE;;
L 941;LB-BWE;;
YBLWG;LB-BWE;;
BWE;LGZ-732-BAWP;;
BAWP;BWE-BNES;;
B7324;BAWP-BNES;;
B7317;BAWP-BNES;;
B7319;BAWP-BNES;;
B7326;BAWP-BNES;;
BNES;BAWP-BSAM;;
B7713;BNES-BSAM;;
B7722;BNES-BSAM;;
BSAM;BNES-1-BGH;;
B7813;BSAM-BGH;;
B7822;BSAM-BGH;;
B7815;BSAM-BGH;;
B7824;BSAM-BGH;;
BSTH;BSAM-BGH;;
BGH;BSAM-11-BGH;;
BGH M;BGH-11-BGHO;;
BGHO;BGH-BAG W;;
B1083;BGHO-BDDF;;
B2083;BGHO-BDDF;;
B2086;BGHO-BDDF;;
B1086;BGHO-BDDF;;
B1087;BGHO-BDDF;;
B2087;BGHO-BDDF;;
B2088;BGHO-BDDF;;
B1088;BGHO-BDDF;;
B1089;BGHO-BDDF;;
B2089;BGHO-BDDF;;
B2090;BGHO-BDDF;;
B1090;BGHO-BDDF;;
BDDF;;BGH-1-BAG W;BGH-1-BAG W
