RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
BDDF;;BAG W-2-BGH;BAG W-2-BGH
B1090;BDDF-BGHO;;
B2090;BDDF-BGHO;;
B2089;BDDF-BGHO;;
B1089;BDDF-BGHO;;
B1088;BDDF-BGHO;;
B2088;BDDF-BGHO;;
B2087;BDDF-BGHO;;
B1087;BDDF-BGHO;;
B1086;BDDF-BGHO;;
B2086;BDDF-BGHO;;
B2083;BDDF-BGHO;;
B1083;BDDF-BGHO;;
BGHO;BAG W-BGH;;
BGH M;BGHO-12-BGH;;
BGH;BGHO-12-BSAM;;
BSTH;BGH-BSAM;;
B7824;BGH-BSAM;;
B7815;BGH-BSAM;;
B7822;BGH-BSAM;;
B7813;BGH-BSAM;;
BSAM;BGH-4-BNES;;
B7722;BSAM-BNES;;
B7713;BSAM-BNES;;
BNES;BSAM-BAWP;;
B7326;BNES-BAWP;;
B7319;BNES-BAWP;;
B7317;BNES-BAWP;;
B7324;BNES-BAWP;;
BAWP;BNES-BWE;;
BWE;BAWP-733-LGZ;;
YBLWG;BWE-LB;;
L 941;BWE-LB;;
L 943;BWE-LB;;
L1904;BWE-LB;;
L1902;BWE-LB;;
L1905;BWE-LB;;
L1907;BWE-LB;;
L1906;BWE-LB;;
L1908;BWE-LB;;
LGZ;BWE-1501-LB;;
L1913;LWE-LB;;
L1915;BWE-LB;;
LGOE;BWE-LB;;
L1917;BWE-LB;;
L1919;BWE-LB;;
L1918;BWE-LB;;
L1920;BWE-LB;;
L1921;BWE-LB;;
L1923;BWE-LB;;
L1922;BWE-LB;;
L1924;BWE-LB;;
L1929;BWE-LB;;
L1931;BWE-LB;;
L1930;BWE-LB;;
L1932;BWE-LB;;
L1934;BWE-LB;;
L1936;BWE-LB;;
LB  G;;BWE-1101-LBZ(1201);BWE-1101-LBZ(1201)
