RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
WNS G;;WBDN-2-WFRK;WBDN-2-WFRK
W3386;WNS-WFRK;;
W3381;WNS-WFRK;;
W3382;WNS-WFRK;;
W3384;WNS-WFRK;;
W3293;WNS-WFRK;;
W3291;WNS-WFRK;;
W3290;WNS-WFRK;;
W3289;WNS-WFRK;;
WFRK;WNS-2-WPAU;;
W3286;WFRK-WPAU;;
W3285;WFRK-WPAU;;
W3284;WFRK-WPAU;;
W3282;WFRK-WPAU;;
W3197;WFRK-WPAU;;
W3195;WFRK-WPAU;;
W3194;WFRK-WPAU;;
W3193;WFRK-WPAU;;
WPAU;WFRK-2-BNAU;;
W3190;WPAU-BNAU;;
W3189;WPAU-BNAU;;
W3188;WNS-BNAU;;
W3186;WNS-BNAU;;
W3187;WNS-BNAU;;
W3185;WNS-BNAU;;
B7430;WNS-BNAU;;
B7445;WNS-BNAU;;
B7443;WNS-BNAU;;
BNAU;WNS-34-BBRI;;
B7422;BNAU-BBRI;;
B7419;BNAU-BBRI;;
B7420;BNAU-BBRI;;
B7418;BNAU-BBRI;;
B7417;BNAU-BBRI;;
B7416;BNAU-BBRI;;
B7415;BNAU-BBRI;;
B7314;BNAU-BBRI;;
B7313;BNAU-BBRI;;
BBRI;BNAU-44/32-BHSL;;
B9415;BBRI-BHSL;;
BHSL;BBRI-BAWF;;
BAWF;BHSL-BPOT;;
BPOT;;BAWF-11/7-BSAT;BAWF-11/7-BSAT
