RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
BPOT;;BSAT-23//4/12-BAWF;BSAT-23//4/12-BAWF
BAWF;BPOT-BHSL;;
BHSL;BAWF-BBRI;;
B9415;BHSL-BBRI;;
BBRI;BHSL-31-BNAU D2;;
B7313;BBRI-BNAU;;
B7314;BBRI-BNAU;;
B7415;BBRI-BNAU;;
B7416;BBRI-BNAU;;
B7417;BBRI-BNAU;;
B7418;BBRI-BNAU;;
B7420;BBRI-BNAU;;
B7419;BBRI-BNAU;;
B7422;BBRI-BNAU;;
BNAU;BBRI-33-WNS;;
B7443;BNAU-WNS;;
B7445;BNAU-WNS;;
B7430;BNAU-WNS;;
W3185;BNAU-WNS;;
W3187;BNAU-WNS;;
W3186;BNAU-WNS;;
W3188;BNAU-WNS;;
W3189;BNAU-WPAU;;
W3190;BNAU-WPAU;;
WPAU;BNAU-1-WFRK;;
W3193;WPAU-WFRK;;
W3194;WPAU-WFRK;;
W3195;WPAU-WFRK;;
W3197;WPAU-WFRK;;
W3282;WPAU-WFRK;;
W3284;WPAU-WFRK;;
W3285;WPAU-WFRK;;
W3286;WPAU-WFRK;;
WFRK;WPAU-1-WNS;;
W3289;WFRK-WNS;;
W3290;WFRK-WNS;;
W3291;WFRK-WNS;;
W3293;WFRK-WNS;;
W3384;WFRK-WNS;;
W3382;WFRK-WNS;;
W3381;WFRK-WNS;;
W3386;WFRK-WNS;;
WNS G;;WFRK-1-WNS;WFRK-1-WNS
