RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
WNS G;;WBDN-2-WFRK;WBDN-2-WFRK
W3386;WNS-WFRK;;
W3381;WNS-WFRK;;
W3382;WNS-WFRK;;
W3384;WNS-WFRK;;
W3293;WNS-WFRK;;
W3291;WNS-WFRK;;
W3290;WNS-WFRK;;
W3289;WNS-WFRK;;
WFRK;WNS-2-WPAU;;
W3286;WFRK-WPAU;;
W3285;WFRK-WPAU;;
W3284;WFRK-WPAU;;
W3282;WFRK-WPAU;;
W3197;WFRK-WPAU;;
W3195;WFRK-WPAU;;
W3194;WFRK-WPAU;;
W3193;WFRK-WPAU;;
WPAU;WFRK-2-BNAU;;
W3190;WPAU-BNAU;;
W3189;WPAU-BNAU;;
W3188;WNS-BNAU;;
W3186;WNS-BNAU;;
W3187;WNS-BNAU;;
W3185;WNS-BNAU;;
B7430;WNS-BNAU;;
B7445;WNS-BNAU;;
B7443;WNS-BNAU;;
BNAU;WNS-34-BBRI;;
B7422;BNAU-BBRI;;
B7419;BNAU-BBRI;;
B7420;BNAU-BBRI;;
B7418;BNAU-BBRI;;
B7417;BNAU-BBRI;;
B7416;BNAU-BBRI;;
B7415;BNAU-BBRI;;
B7314;BNAU-BBRI;;
B7313;BNAU-BBRI;;
BBRI;BNAU-34-BFIN;;
BAFI;BBRI-BFIN;;
B7254;BAFI-BFIN;;
BFIN;BAFI-BFKS;;
B7253;BFIN-BFKS;;
B7252;BFIN-BFKS;;
B7251;BFIN-BFKS;;
BFKS;BFIN-124-BAS;;
B7148;BFKS-BAS;;
BSFD;BFKS-BAS;;
B7146;BFKS-BAS;;
B7145;BFKS-BAS;;
BQAS;BFKS-BAS;;
BAS;BFKS-BSPD;;
B7144;BFKS-BSPD;;
B7143;BFKS-BSPD;;
B8734;BFKS-BSPD;;
B8733;BFKS-BSPD;;
B8731;BFKS-BSPD;;
BSPDW;BAS-735-716 -BSPD;;
BSPD;BSPDW-7162-BSPDM;;
BSPDM;BSPD-716-5363-BSPDO;;
BSPDO;BSPD-556-S-BWD;;
BWD;BSPDO-522/1502-BMOA;;
B8407;BWD-BMOA;;
B8405;BWD-BMOA;;
B8406;BWD-BMOA;;
B8408;BWD-BMOA;;
BJUF;BWD-502-BMOA;;
BMOA;;BWD-502/335/365-BL;BWD-502/335/365-BL
