RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
BMOA;;BL-366/336/501-BWD;BL-366/336/501-BWD
BJUF;BMOA-501-BWD;;
B8408;BMOA-BWD;;
B8406;BMOA-BWD;;
B8405;BMOA-BWD;;
B8407;BMOA-BWD;;
BWD;BMOA-1501/521-BSPDO;;
BSPDO;BWD-R-554-BSPD;;
BSPDM;BSPDO-5441-BSPD;;
BSPD;BSPDM-714-BNDM H140;;
BSPDW;BSPD-714-733-BAS;;
B8731;BSPD-BFKS;;
B8733;BSPD-BFKS;;
B8734;BSPD-BFKS;;
B7143;BSPD-BFKS;;
B7144;BSPD-BFKS;;
BAS;BSPD-BFKS;;
BQAS;BAS-BFKS;;
B7145;BAS-BFKS;;
B7146;BAS-BFKS;;
BSFD;BAS-BFKS;;
B7148;BAS-BFKS;;
BFKS;BAS-123-BFIN;;
B7251;BFKS-BFIN;;
B7252;BFKS-BFIN;;
B7253;BFKS-BFIN;;
BFIN;BFKS-BAFI;;
B7254;BFIN-BAFI;;
BAFI;BFIN-BBRI;;
BBRI;BFIN-33-BNAU;;
B7313;BBRI-BNAU;;
B7314;BBRI-BNAU;;
B7415;BBRI-BNAU;;
B7416;BBRI-BNAU;;
B7417;BBRI-BNAU;;
B7418;BBRI-BNAU;;
B7420;BBRI-BNAU;;
B7419;BBRI-BNAU;;
B7422;BBRI-BNAU;;
BNAU;BBRI-33-WNS;;
B7443;BNAU-WNS;;
B7445;BNAU-WNS;;
B7430;BNAU-WNS;;
W3185;BNAU-WNS;;
W3187;BNAU-WNS;;
W3186;BNAU-WNS;;
W3188;BNAU-WNS;;
W3189;BNAU-WPAU;;
W3190;BNAU-WPAU;;
WPAU;BNAU-1-WFRK;;
W3193;WPAU-WFRK;;
W3194;WPAU-WFRK;;
W3195;WPAU-WFRK;;
W3197;WPAU-WFRK;;
W3282;WPAU-WFRK;;
W3284;WPAU-WFRK;;
W3285;WPAU-WFRK;;
W3286;WPAU-WFRK;;
WFRK;WPAU-1-WNS;;
W3289;WFRK-WNS;;
W3290;WFRK-WNS;;
W3291;WFRK-WNS;;
W3293;WFRK-WNS;;
W3384;WFRK-WNS;;
W3382;WFRK-WNS;;
W3381;WFRK-WNS;;
W3386;WFRK-WNS;;
WNS G;;WFRK-1-WNS;WFRK-1-WNS
