RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
BBKN;;BHSH-2-BBIKS;BHSH-2-BBIKS
BBIKM;BBKN-BBIKS;;
BBIKS;BBKN-BEG;;
B2926;BBKS-BEGN;;
B2916;BBKS-BEGN;;
B2925;BBKS-BEGN;;
B2915;BBKS-BEGN;;
BEGN;BBIKS-BEG;;
BEG;BBIKS-2-BGK N;;
BWDH;BEG-BGK N;;
B8812;BEG-BGK N;;
B8822;BEG-BGK N;;
B8821;BEG-BGK N;;
B8811;BEG-BGK N;;
BGK N;BEG-BFHS;;
BGK S;BGK N-BFHS;;
B1190;BGK S-BFHS;;
B5190;BGK S-BFHS;;
B1188;BGK S-BFHS;;
B5188;BGK S-BFHS;;
B1189;BGK S-BFHS;;
B5189;BGK S-BFHS;;
B1187;BGK S-BFHS;;
BQFH;BGK S-BFHS;;
B5187;BGK S-BFHS;;
BFHS;;BGK S-1/2/2-BAG O;BGK S-1/2/2-BAG O
