RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
BFHS;;BAG O-1/1/5-BGK S;BAG O-1/1/5-BGK S
B5187;BFHS-BGK S;;
BQFH;BFHS-BGK S;;
B1187;BFHS-BGK S;;
B5189;BFHS-BGK S;;
B1189;BFHS-BGK S;;
B5188;BFHS-BGK S;;
B1188;BFHS-BGK S;;
B5190;BFHS-BGK S;;
B1190;BFHS-BGK S;;
BGK S;BFHS-BGK N;;
BGK N;BFHS-BEG;;
B8811;BGK N-BEG;;
B8821;BGK N-BEG;;
B8822;BGK N-BEG;;
B8812;BGK N-BEG;;
BWDH;BGK N-BEG;;
BEG;BGK N-1-BBIKS;;
BEGN;BEG-BBIKS;;
B2915;BEGN-BBKS;;
B2925;BEGN-BBKS;;
B2916;BEGN-BBKS;;
B2926;BEGN-BBKS;;
BBIKS;BEG-BBKN;;
BBIKM;BBIKS-BBKN;;
BBKN;;BBIKS-1-BHSH;BBIKS-1-BHSH
