RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
BDDF;;BAG W-2-BGH;BAG W-2-BGH
B1090;BDDF-BGHO;;
B2090;BDDF-BGHO;;
B2089;BDDF-BGHO;;
B1089;BDDF-BGHO;;
B1088;BDDF-BGHO;;
B2088;BDDF-BGHO;;
B2087;BDDF-BGHO;;
B1087;BDDF-BGHO;;
B1086;BDDF-BGHO;;
B2086;BDDF-BGHO;;
B2083;BDDF-BGHO;;
B1083;BDDF-BGHO;;
BGHO;BAG W-BGH;;
BGH M;BGHO-12-BGH;;
BGH;BGHO-12-BSAM;;
BSTH;BGH-BSAM;;
B7824;BGH-BSAM;;
B7815;BGH-BSAM;;
B7822;BGH-BSAM;;
B7813;BGH-BSAM;;
BSAM;BGH-4-BNES;;
B7722;BSAM-BNES;;
B7713;BSAM-BNES;;
BNES;BSAM-BAWP;;
B7326;BNES-BAWP;;
B7319;BNES-BAWP;;
B7317;BNES-BAWP;;
B7324;BNES-BAWP;;
BAWP;BNES-BGOL;;
BGOL;BAWP-1-BSAT;;
B9804;BGOL-BSAT;;
B9803;BGOL-BSAT;;
BMQU;BGOL-BSAT;;
BSAT;BGOL-2-BPOT;;
B9702;BSAT-BPOT;;
B9704;BSAT-BPOT;;
BPOT;;BSAT-23/3/12-BAWF;BSAT-23/3/12-BAWF
