RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
BPOT;;BWUR-12/2/22-BSAT D2;BWUR-12/2/22-BSAT D2
B9704;BPOT-BSAT;;
B9702;BPOT-BSAT;;
BSAT;BPOT-1-BGOL;;
BMQU;BSAT-BGOL;;
B9803;BSAT-BGOL;;
B9804;BSAT-BGOL;;
BGOL;BSAT-4-BAWP D3;;
BAWP;BGOL-BNES;;
B7324;BAWP-BNES;;
B7317;BAWP-BNES;;
B7319;BAWP-BNES;;
B7326;BAWP-BNES;;
BNES;BAWP-BSAM;;
B7713;BNES-BSAM;;
B7722;BNES-BSAM;;
BSAM;BNES-1-BGH;;
B7813;BSAM-BGH;;
B7822;BSAM-BGH;;
B7815;BSAM-BGH;;
B7824;BSAM-BGH;;
BSTH;BSAM-BGH;;
BGH;BSAM-11-BGH;;
BGH M;BGH-11-BGHO;;
BGHO;BGH-BAG W;;
B1083;BGHO-BDDF;;
B2083;BGHO-BDDF;;
B2086;BGHO-BDDF;;
B1086;BGHO-BDDF;;
B1087;BGHO-BDDF;;
B2087;BGHO-BDDF;;
B2088;BGHO-BDDF;;
B1088;BGHO-BDDF;;
B1089;BGHO-BDDF;;
B2089;BGHO-BDDF;;
B2090;BGHO-BDDF;;
B1090;BGHO-BDDF;;
BDDF;;BGH-1-BAG W;BGH-1-BAG W
