RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
BPOT;;BSAT-23//4/12-BAWF;BSAT-23//4/12-BAWF
BAWF;BPOT-BHSL;;
BHSL;BAWF-BFAH;;
BFAH;BHSL-3-BSWL;;
B9306;BFAH-BSWL;;
B9305;BFAH-BSWL;;
BSWL;BFAH-BHDW;;
BHDW;BSWL-2-BHDO;;
BHDO;BHDW-2-BHOW;;
BHOW;BHDO-2-BABO;;
BABO;BHOW-BSFW;;
BSFW;BABO-BSFL;;
BSFL;BSFW-2-BAKW;;
BFL;BSFL-BAKW;;
BQAK;BSFL-BAKW;;
BAKW;BSFL-BAKO;;
YBBAK;BAKW-BAKO;;
BAKO;BAKW-BBKN;;
B 516;BAKO-BHSH;;
B 517;BAKO-BHSH;;
B 510;BAKO- BHSH;;
B 513;BAKO-BHSH;;
BHSH;BAKO-BBKN;;
B 502;BHSH-BBKN;;
B 503;BHSH-BBKN;;
B 500;BHSH-BBKN;;
B 501;BHSH-BBKN;;
YBBIK;BAKO-BBKN;;
BBKN;;BHSH-2-BBIKS;BHSH-2-BBIKS
