RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
MTL;;NN-12-MIH 5;NN-12-MIH 5
M 478;MTL-MH;;
M 459;MTL-MH;;
M 476;MTL-MH;;
M457A;MTL-MH;;
MPP;MTL-MH;;
M 474;MTL-MH;;
M 455;MTL-MH;;
M 472;MTL-MH;;
M 453;MTL-MH;;
MSO;MTL-1-MIH H1;;
M 458;MTL-MH;;
M 439;MTL-MH;;
MDO;MTL-MH;;
M 456;MTL-MH;;
M 437;MTL-MH;;
MEB;MTL-3-MIH;;
M 450;MTL-MH;;
M429B;MTL-MH;;
MAD;MTL-MH;;
M 448;MTL-MH;;
M427B;MTL-MH;;
MTA;MTL-3-MIH;;
M 444;MTL-MH;;
MEI;MTL-MH;;
M 469;MTL-MH;;
M 419;MTL-MH;;
MGH;MTL-3-MIH;;
MINU;MTL-MH;;
MIN;MTL-3-MH;;
MIH;;MTL-3-MH;MTL-3-MH
