RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
MOL;;MP(5503)-5-MA(5503);MP(5503)-5-MA(5503)
M605A;MP-MA;;
M 604;MP-MA;;
M607A;MP-MA;;
M606A;MOL-MA;;
M609A;MP-MA;;
M608A;MP-MA;;
M 610;MP-MA;;
M 611;MP-MA;;
M 612;MP-MA;;
M 613;MP-MA;;
M614A;MP-MA;;
M615A;MP-MA;;
M616A;MP-MA;;
M617A;MP-MA;;
M618A;MP-MA;;
M619A;MP-MA;;
M620A;MP-MA;;
M621A;MP-MA;;
M622A;MP-MA;;
M623A;MP-MA;;
M624A;MP-MA;;
M625A;MP-MA;;
M626A;MP-MA;;
MMRU;MP-MA;;
M 629;MP-MA;;
M 630;MP-MA;;
M 631;MP-MA;;
M 632;MP-MA;;
M633A;MP-MA;;
M634A;MP-MA;;
M635A;MP-MA;;
M636A;MP-MA;;
M637A;MP-MA;;
M638A;MP-MA;;
MAHZF;MP-1-MA;;
MAHA;MP-MA;;
MA;MAHZ-1/111-MDT 9;;
MAOB;MA(5300-1)-3-MDT;;
M199A;MA-MDT;;
M 198;MA-MDT;;
MGHF;MA-102-MDT;;
M 203;MA-MDT;;
M202A;MA-MDT;;
MGAL;MA-3-MDT;;
M205A;MA-MDT;;
MLAW;MA-MDT;;
M 204;MA-MDT;;
MSTW;MA-MDT;;
MHEH;MA-MDT;;
MMEI;MA-1-MDT;;
MWDF;MA-MDT;;
M206A;MA-MDT;;
M207A;MA-MDT;;
M257A;MA-MDT;;
MNOD;MA-MDT;;
M258A;MA-MDT;;
M208A;MA-MDT;;
M209A;MA-MDT;;
M259A;MA-MDT;;
M210A;MA-MDT;;
M211A;MA-MDT;;
MMTG;MA-830-MDT;;
M269A;MA-MDT;;
MBHM;MA-MDT;;
M268A;MA-MDT;;
M271A;MA-MDT;;
M272A;MA-MDT;;
MDT;MA-010-MTL 3;;
M 633;MDT-MTL;;
M 683;MDT-MTL;;
M 634;MDT-MTL;;
M 637;MDT-MTL;;
M 638;MDT-MTL;;
M 688;MDT-MTL;;
MMDL;MDT-310-MTL;;
M 693;MDT-MTL;;
M643A;MDT-MTL;;
M644A;MDT-MTL;;
M 694;MDT-MTL;;
M 647;MDT-MTL;;
M 697;MDT-MTL;;
M 648;MDT-MTL;;
MOTW;MDT-1-MTL;;
M 663;MDT-MTL;;
M 664;MDT-MTL;;
M 699;MDT-MTL;;
M 665;MDT-MTL;;
M 696;MDT-MTL;;
M 672;MDT-MTL;;
M673A;MDT-MTL;;
M674A;MDT-MTL;;
MTL;;MDT-5-NWH;MDT-5-NWH
