RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
NZG;NGM-2-NJS;;
N 966;NGM-NJS;;
NRCK;NGM-NJS;;
NSB;NGM-2-NJS;;
NBN;NGM-604-NJS;;
N 441;NGM-NJS;;
N 41E;NGM-NJS;;
NMSN;NGM-NJS;;
N 42D;NGM-NJS;;
N442A;NGM-NJS;;
NOBS;NGM-NJS;;
NQJS;NGM-NJS;;
NJS;NGM-1-FFU;;
YFNJ;NJS-FSTZ;;
F039C;NJS-FSTZ;;
F036D;NJS-FSTZ;;
F034D;NJS-FSTZ;;
F037C;NJS-FSTZ;;
F035C;NJS-FSTZ;;
F032D;NJS-FSTZ;;
FSTZ;NJS-1-FEL;;
F033C;FSTZ-FEL;;
F030C;FSTZ-FEL;;
F028B;FSTZ-FEL;;
F031C;FSTZ-FEL;;
FEL;FSTZ-2-FFD;;
F026B;FEL-FFD;;
F023C;FEL-FFD;;
F024B;FEL-FFD;;
F022D;FEL-FFD;;
F021B;FEL-FFD;;
FFD;FEL-7-FNFS;;
F693B;FFD-FNFS;;
F692A;FFD-FNFS;;
FNFS;FFD-FNF;;
FNF;FNFS-601-FNF_N;;
FNF N;FNF-641-FFU;;
F683A;FNF_N-FFU_B;;
F682B;FNF_N-FFU_B;;
F685A;FNF_N-FFU_B;;
F684A;FNF_N-FFU_B;;
F687B;FNF_N-FFU_B;;
F426A;FNF_N-FFU_S;;
F425A;FNF_N-FFU_S;;
FFU B;FNF_N-FFU-3600/1733;;
FFU;;FFU_B-5-FFU_N-1733;FFU_B-5-FFU_N-1733
