RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
NROB;;NOT-2-NRH;NOT-2-NRH
NRH;NOT-5-NRH B;;
NRH B;NRH-248/318-NN;;
NRPF;NRH-NN;;
N  3C;NRH-NN;;
N  2Q;NRH-NN;;
N  4D;NRH-NN;;
NET;NRH-NN;;
N  5B;NRH-NN;;
N  6B;NRH-NN;;
NUDF;NRH-2-NN;;
NDN;NRH-NN;;
N 23G;NRH-NN;;
N 22C;NRH-NN;;
N 25C;NRH-NN;;
N 75A;NRH-NN;;
N 24C;NRH-NN;;
N 74E;NRH-NN;;
NLB;NRH-NN;;
N 27C;NRH-NN;;
N  2M;NRH-NN;;
N  1P;NRH-NN;;
N  4F;NRH-NN;;
NBE;NRH-2-NN;;
N 23C;NRH-NN;;
N 22D;NRH-NN;;
NMSM;NRH-NN;;
N 25E;NRH-NN;;
N 24D;NRH-NN;;
N  1M;NRH-NN;;
N  2N;NRH-NN;;
NPB;NRH-2-NN;;
N 23F;NRH-NN;;
N  2O;NRH-NN;;
NSF;NRH-2-NN;;
N 23D;NRH-NN;;
N 22E;NRH-NN;;
NBH;NRH-NN;;
N 25F;NRH-NN;;
N 52D;NRH-NN;;
N  2P;NRH-NN;;
N  1N;NRH-NN;;
N  4G;NRH-NN;;
N  3F;NRH-NN;;
N 53A;NRH-NN;;
NDE;NRH-NN;;
N 23E;NRH-NN;;
N 22F;NRH-NN;;
N 25G;NRH-NN;;
N 74D;NRH-NN;;
N 24E;NRH-NN;;
N  1O;NRH-NN;;
N  2R;NRH-NN;;
N  3G;NRH-NN;;
N  4H;NRH-NN;;
NNT;NRH-01-NN;;
N 23K;NRH-NN;;
N 22L;NRH-NN;;
N 25H;NRH-NN;;
N 24F;NRH-NN;;
NPG;NRH-NN;;
N 27F;NRH-NN;;
N 26G;NRH-NN;;
N 29D;NRH-NN;;
N 28E;NRH-NN;;
N 31E;NRH-NN;;
N  2S;NRH-NN;;
N  1T;NRH-NN;;
N  4P;NRH-NN;;
NPOH;NRH-2-NN;;
N 23L;NRH-NN;;
N 22K;NRH-NN;;
N 25L;NRH-NN;;
N 24G;NRH-NN;;
NOB;NRH-NN;;
N 27E;NRH-NN;;
N 26I;NRH-NN;;
N  1U;NRH-NN;;
N 52C;NRH-NN;;
N  2T;NRH-NN;;
NBUT;NRH-NN;;
N  3H;NRH-NN;;
N 53E;NRH-NN;;
N  4O;NRH-NN;;
N  5D;NRH-NN;;
N  6E;NRH-NN;;
N  7B;NRH-NN;;
N  8A;NRH-NN;;
NMIM;NRH-NN;;
N  9E;NRH-NN;;
N 10G;NRH-NN;;
NOK;NRH-3-NN;;
N 23M;NRH-NN;;
N 22J;NRH-NN;;
N 25M;NRH-NN;;
N 24I;NRH-NN;;
NFTO;NRH-NN;;
NFT;NRH-103-NRWD;;
N 175;NRH-NN;;
N 174;NRH-NN;;
NRWD;NFT-1-NNLW 10;;
N654A;NRWD-NNLW;;
N655A;NRWD-NNLW;;
NFIN;NRWD-NNLW;;
N652A;NRWD-NNLW;;
N653A;NRWD-NNLW;;
NNLW;NRWD-601-NNR A(5962-2);;
N202C;NNLW-NNR A;;
N203B;NNLW-NNR A;;
NNR A;;NNLW-314/742-NNR B;NNLW-314/742-NNR B
