RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
LHGB;LH-7402-LBT;;
L7472;LH-LBT;;
L7473;LH-LBT;;
L7280;LH-LBT;;
LHM;LH-LBT;;
L7277;LH-LBT;;
L7274;LH-LBT;;
L7271;LH-LBT;;
LLBG;LH-7202-LBT;;
L7268;LH-LBT;;
L7175;LH-LBT;;
L7172;LH-LBT;;
LBN;LH-LBT;;
L7169;LH-LBT;;
LROI;LH-7102-LBT;;
L7161;LH-LBT;;
LBTA;LH-LBT;;
LBT;LH-2/42-LW;;
L6794;LBT-LW;;
L6395;LBT-LW;;
LMD;LBT-2-LW;;
LBGK;LBT-2-LW;;
LG;LBT-2-LW;;
LRA;LBT-2-LW;;
L5882;LBT-LW;;
L5885;LBT-LW;;
LBWU;LBT-LW;;
LBWZ;LBT-LW;;
L5698;LBT-LW;;
L5697;LBT-LW;;
LPT;LBT-12/2-LW H1;;
LW;LPT-13/2-BJUE;;
L4868;LW-BJUE;;
L4867;LW-BJUE;;
LZGL;LW-BJUE;;
L4395;LW-BJUE;;
LBZG;LW-BJUE;;
L4394;LW-BJUE;;
LZA;LW-2-BJUE;;
L4378;LW-BJUE;;
L4377;LW-BJUE;;
L4374;LW-BJUE;;
L4375;LW-BJUE;;
LKBZ;LW-BJUE;;
LQBD;LW-BJUE;;
L4368;LW-BJUE;;
L4370;LW-BJUE;;
L4275;LW-BJUE;;
L4273;LW-BJUE;;
LBD;LW-BJUE;;
L4194;LW-BJUE;;
L4195;LW-BJUE;;
LNF;LW-2-BJUE;;
YBLDN;LW-BJUE;;
B4174;LW-BJUE;;
B4173;LW-BJUE;;
BJUE;LW-2-BLD;;
BJUEG;BJUE-2/22-BLD;;
B 262;BJUE-BLD;;
B 161;BJUE-BLD;;
B 258;BJUE-BLD;;
B 157;BJUE-BLD;;
B 254;BJUE-BLD;;
B 153;BJUE-BLD;;
BLD G;BJUE-22-BTN;;
BLD;BJUE-2-BTN;;
B 139;BLD-BTN;;
BWOL;BLD-BTN;;
B 238;BLD-BTN;;
B 234;BLD-BTN;;
B 133;BLD-BTN;;
B 129;BLD-BTN;;
B 228;BLD-BTN;;
B 224;BLD-BTN;;
B123;BLD-BTN;;
BTN;;BLD-2-BLF;BLD-2-BLF
