RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
LBRC;;LM-LBZ;LM-LBZ
L3222;LM-LBZ;;
L3220;LM-LBZ;;
LMHR;LM-LBZ;;
L3223;LM-LBZ;;
L3225;LM-LBZ;;
L3226;LM-LBZ;;
L3224;LM-LBZ;;
L3227;LM-LBZ;;
L3229;LM-LBZ;;
LBZ;LM-2-LGN (nicht Bz 7);;
LGWS;LBZ-2802-LGN;;
L2976;LBZ-LGN;;
L2974;LBZ-LGN;;
L2975;LBZ-LGN;;
L2973;LBZ-LGN;;
LMOS;LBZ-2702-LGN;;
L2964;LBZ-LGN;;
L2962;LBZ-LGN;;
L2963;LBZ-LGN;;
L2961;LBZ-LGN;;
LBU;LBZ-2602-LGN;;
L2956;LBZ-LGN;;
L2954;LBZ-LGN;;
L2952;LBZ-LGN;;
L2950;LBZ-LGN;;
L2951;LBZ-LGN;;
L2949;LBZ-LGN;;
L2944;LBZ-LGN;;
L2942;LBZ-LGN;;
L2943;LBZ-LGN;;
L2941;LBZ-LGN;;
L2939;LBZ-LGN;;
L2937;LBZ-LGN;;
LGSN;LBZ-2502-LGN;;
L2936;LBZ-LGN;;
L2934;LBZ-LGN;;
L2935;LBZ-LGN;;
L2933;LBZ-LGN;;
L2932;LBZ-LGN;;
L2930;LBZ-LGN;;
L2927;LBZ-LGN;;
L2925;LBZ-LGN;;
L2924;LBZ-LGN;;
L2922;LBZ-LGN;;
L2923;LBZ-LGN;;
L2921;LBZ-LGN;;
LGN;LBZ-2202-LB;;
L2916;LBZ-LB;;
L2914;LBZ-LB;;
L2915;LBZ-LB;;
L2913;LBZ-LB;;
L2908;LBZ-LB;;
L2906;LBZ-LB;;
L2907;LBZ-LB;;
L2905;LBZ-LB;;
LKE;LBZ-LB;;
LQWU;LBZ-LB;;
L2904;LBZ-LB;;
L2902;LBZ-LB;;
L2903;LBZ-LB;;
L2901;LBZ-LB;;
LWUZ;LBZ-1802-LB H1802;;
LKIM;LBZ-1702-LB H2;;
L1952;LBZ-LB;;
L1950;LBZ-LB;;
L1951;LBZ-LB;;
L1949;LBZ-LB;;
L1948;LBZ-LB;;
L1946;LBZ-LB;;
L1947;LBZ-LB;;
L1945;LBZ-LB;;
L1944;LBZ-LB;;
L1942;LBZ-LB;;
L1943;LBZ-LB;;
L1941;LBZ-LB;;
L1940;LBZ-LB;;
L1938;LBZ-LB;;
L1937;LGN-LB;;
L1939;LBZ-LB;;
LB;LBZ-1202-BWE(1102);;
LB  G;LBZ(1202)-1102-BWE;;
L1936;LB-BWE;;
L1934;LB-BWE;;
L1932;LB-BWE;;
L1930;LB-BWE;;
L1931;LB-BWE;;
L1929;LB-BWE;;
L1924;LB-BWE;;
L1922;LB-BWE;;
L1923;LB-BWE;;
L1921;LB-BWE;;
L1920;LB-BWE;;
L1918;LB-BWE;;
L1919;LB-BWE;;
L1917;LB-BWE;;
LGOE;LB-BWE;;
L1915;LB-BWE;;
L1913;LB-BWE;;
LGZ;LB-1502-BWE;;
L1908;LB-BWE;;
L1906;LB-BWE;;
L1907;LB-BWE;;
L1905;LB-BWE;;
L1902;LB-BWE;;
L1904;LB-BWE;;
L 943;LB-BWE;;
L 941;LB-BWE;;
YBLWG;LB-BWE;;
BWE;;LGZ-733-BAWP;BWP-733-LGZ
YBLWG;BWE-LB;;
L 941;BWE-LB;;
L 943;BWE-LB;;
L1904;BWE-LB;;
L1902;BWE-LB;;
L1905;BWE-LB;;
L1907;BWE-LB;;
L1906;BWE-LB;;
L1908;BWE-LB;;
LGZ;BWE-1501-LB;;
L1913;LWE-LB;;
L1915;BWE-LB;;
LGOE;BWE-LB;;
L1917;BWE-LB;;
L1919;BWE-LB;;
L1918;BWE-LB;;
L1920;BWE-LB;;
L1921;BWE-LB;;
L1923;BWE-LB;;
L1922;BWE-LB;;
L1924;BWE-LB;;
L1929;BWE-LB;;
L1931;BWE-LB;;
L1930;BWE-LB;;
L1932;BWE-LB;;
L1934;BWE-LB;;
L1936;BWE-LB;;
LB  G;;BWE-1101-LBZ(1201);BWE-1101-LBZ(1201)
