RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
DH;DM(6240)-362/243-DHD(6240);;
D 962;DH-DHD;;
D 951;DH-DHD;;
D 932;DH-DHD;;
D 921;DH-DHD;;
DRKA;DH-2-DHD;;
D 804;DH-DHD;;
D 793;DH-DHD;;
DNS;DH-74-DHD;;
DHD;DH(F)-4-DPI(F);;
D 624;DHD-DPI;;
D 623;DHD-DPI;;
D 604;DHD-DPI;;
D 603;DHD-DPI;;
DPI G;DHD-41-DSA;;
DPI;DHD-1-DSA;;
D 102;DPI-DSA;;
D 101;DPI-DSA;;
D 100;DPI-DSA;;
D 499;DPI-DSA;;
DOG;DPI-DSA;;
D6594;DPI-DSA;;
D6592;DPI-DSA;;
D6591;DPI-DSA;;
D6590;DPI-DSA;;
D6589;DPI-DSA;;
DWH;DPI-DSA;;
D6586;DPI-DSA;;
D6584;DPI-DSA;;
D6587;DPI-DSA;;
D6583;DPI-DSA;;
D6581;DPI-DSA;;
DRAT;DPI-2-DSA;;
D6578;DPI-DSA;;
D6579;DPI-DSA;;
D6577;DPI-DSA;;
DKOU;DPI-DSA;;
D6572;DPI-DSA;;
D6571;DPI-DSA;;
D6570;DPI-DSA;;
D6568;DPI-DSA;;
D6569;DPI-DSA;;
DKOH;DPI-DSA;;
D6766;DPI-DSA;;
D6767;DPI-DSA;;
D6765;DPI-DSA;;
D6764;DPI-DSA;;
D6763;DPI-DSA;;
D6761;DPI-DSA;;
DSA;DPI-3-DSN;;
DKRP;DSA-DSO;;
DSO;DSA-2-XTDP;;
D  46;DSA-XTDP;;
D  43;DSA-XTDP;;
D  40;DSA-XTDP;;
D  37;DSA-XTDP;;
DSMI;DSA-XTDP;;
D  36;DSA-XTDP;;
DSN;DSA-2-XTDP;;
DXS;DSA(6240)-XTDP(7808);;
