RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
LEO;LEK-1-LBOR;;
L5413;LEO-LBOR;;
L5423;LEO-LBOR;;
L5524;LEO-LBOR;;
L5514;LEO-LBOR;;
LBOR;LEO-5501-LWZ;;
LGE;LBOR-LWZ;;
L117W;LBOR-LWZ;;
L115W;LBOR-LWZ;;
L116W;LBOR-LWZ;;
L118W;LBOR-LWZ;;
LMAC;LBOR-LWZ;;
LMAU;LBOR-LWZ;;
LALT;LBOR-LWZ;;
L143W;LBOR-LWZ;;
L141W;LBOR-LWZ;;
L242W;LBOR-LWZ;;
L244W;LBOR-LWZ;;
LWZW;LBOR-LWZ;;
LWZ;LBOR-0201/0241-LDH H0241;;
LKUH;LWZ-LDH;;
LDH;LWZ-0301-LDA;;
LDA;LDH-0401-DOT;;
DOT;LDA-0501-DR;;
DBT;DOT-DR;;
D 575;DOT-DR;;
D 578;DOT-DR;;
DR  R;;LBOR-130/2-DRA;LBOR-130/2-DRA
