RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
DR  R;;DRA-3/3-LBOR;DRA-3/3-LBOR
D 578;DR-DOT;;
D 575;DR-DOT;;
DBT;DR-DOT;;
DOT;DR-0502-LDA;;
LDA;DOT-0402-LDH;;
LDH;LDA-0302-LWZ;;
LKUH;LDH-LWZ;;
LWZ;LDH-0242/0202-LBOR H0242;;
LWZW;LWZ-LBOR;;
L244W;LWZ-LBOR;;
L242W;LWZ-LBOR;;
L141W;LWZ-LBOR;;
L143W;LWZ-LBOR;;
LALT;LWZ-LBOR;;
LMAU;LWZ-LBOR;;
LMAC;LWZ-LBOR;;
L118W;LWZ-LBOR;;
L116W;LWZ-LBOR;;
L115W;LWZ-LBOR;;
L117W;LWZ-LBOR;;
LGE;LWZ-LBOR;;
LBOR;LWZ-5502-LEO;;
L5514;LBOR-LEO;;
L5524;LBOR-LEO;;
L5423;LBOR-LEO;;
L5413;LBOR-LEO;;
LEO;LBOR(6363)-2-LEK(6363);;
