RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
LF  N;;BJUE-1N-LFU;BJUE-1N-LFU
LF  U;LFN-1N/1M-LNX;;
LSX;LF-DRO;;
LNX;LF-2-DRO;;
LQNX;LNX-DRO;;
LJL;LNX-DRO;;
DRO;LNX-2-DZN;;
DZN;DRO-2-DPR;;
DGLA;DR-DCW;;
DNUN;DR-DCW;;
DWIG;DR-2-DCW;;
DLEW;DR-DKOT;;
D1415;DR-DKOT;;
D1161;DR-DKOT;;
DKOT;DR-DAZ;;
D1114;DKOT-DAZ;;
D1112;DKOT-DAZ;;
D1115;DKOT-DAZ;;
D1110;DKOT-DAZ;;
D1113;DKOT-DZA;;
D1111;DKOT-DAZ;;
D1108;DKOT-DAZ;;
D1109;DKOT-DAZ;;
D1106;DKOT-DAZ;;
D1107;DKOT-DAZ;;
D1104;DKOT-DAZ;;
D1105;DKOT-DAZ;;
D1102;DKOT-DAZ;;
D1103;DKOT-DAZ;;
DWE;DKOT-1-DAZ;;
D 771;DKOT-DAZ;;
D 772;DKOT-DAZ;;
D 773;DKOT-DAZ;;
D 774;DKOT-DAZ;;
D 775;DKOT-DAZ;;
D 776;DKOT-DAZ;;
DAZ;DKOT-DF;;
DRBA;DGB-DF;;
DRBN;DRBA-DF;;
DNI;DRBA-DF;;
DPUM;DRBA-DF;;
DCB;DRBA-2-DF;;
DSTT;DRBA-DF;;
DKE;DRBA-DF;;
DCT;DRBA-DF;;
DCTA;DRBA-DF(6248);;
DF;;DRBA-202-DH;DRBA-202-DH
