RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
DF;;DH-201-DRBA;DH-201-DRBA
DCTA;DF(6248)-DRBA;;
DCT;DF-DRBA;;
DKE;DF-DRBA;;
DSTT;DF-DRBA;;
DCB;DF-1-DRBA;;
DPUM;DF-DRBA;;
DNI;DF-DRBA;;
DRBN;DF-DRBA;;
DRBA;DF-DGB;;
DAZ;DF-DKOT;;
D 776;DAZ-DKOT;;
D 775;DAZ-DKOT;;
D 774;DAZ-DKOT;;
D 773;DAZ-DKOT;;
D 772;DAZ-DKOT;;
D 771;DAZ-DKOT;;
DWE;DAZ-2-DKOT;;
D1103;DAZ-DKOT;;
D1102;DAZ-DKOT;;
D1105;DAZ-DKOT;;
D1104;DAZ-DKOT;;
D1107;DAZ-DKOT;;
D1106;DAZ-DKOT;;
D1109;DAZ-DKOT;;
D1108;DAZ-DKOT;;
D1111;DAZ-DKOT;;
D1113;DZA-DKOT;;
D1110;DAZ-DKOT;;
D1115;DAZ-DKOT;;
D1112;DAZ-DKOT;;
D1114;DAZ-DKOT;;
DKOT;DAZ-DR;;
D1161;DKOT-DR;;
D1415;DKOT-DR;;
DLEW;DKOT-DR;;
DWIG;DCW-1-DR;;
DNUN;DCW-DR;;
DGLA;DCW-DR;;
DZN;DPR-2-DRO;;
DRO;DZN-1-LNX;;
LJL;DRO-LNX;;
LQNX;DRO-LNX;;
LNX;DRO-1-LF;;
LSX;DRO-LF;;
LF  U;LNX-2M/2N-LFN(6133);;
LF  N;;LFU(6133)-2N-BJUE;LFU(6133)-2N-BJUE
