RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
LNW N;LL-2-LBT;;
L7872;LNW N-LRK;;
L7873;LNW-LRK;;
LRK;LNW-2-LDL;;
L7894;LNW-LAH;;
L7897;LRK-LAH;;
LZS;LRK-LAH;;
L7790;LRK-LAH;;
L7793;LRK-LAH;;
LAH;LL-62-LDL;;
LDL;LAH-42/2-LBT;;
L7696;LDL-LBT;;
L7699;LDL-LBT;;
L7695;LDL-LBT;;
L7692;LDL-LBT;;
LQPR;LDL-LBT;;
L7091;LDL-LBT;;
LPRO;LDL-LBT;;
L7088;LDL-LBT;;
LBTS;LDL-2-LBT;;
LBT;LDL-6/44-LR;;
LGPN;LBT-LD;;
LWO;LBT-2-LD;;
LJZ;LBT-LD;;
LRHU;LBT-LD;;
LRH;LBT-LD;;
LMAR;LBT-LD;;
L2742;LBT-LD;;
L2741;LBT-LD;;
L2636;LBT-LD;;
L2635;LBT-LD;;
LDS;LBT-LD;;
LD;LBT-2-LR;;
LD  G;LD-12-LR;;
L2630;LD-LR;;
L2632;LD-LR;;
L2629;LD-LR;;
L2631;LD-LR;;
L2628;LD-LR;;
L2626;LD-LR;;
L2625;LD-LR;;
L2627;LD-LR;;
LR;LD-1-LRVB;;
LRVB;LR-2-LGK;;
LROD;LR-LGK;;
LNN;LR-LGK;;
L2024;LR-LGK;;
LJR;LR-LGK;;
L2020;LR-LGK;;
L2018;LR-LGK;;
L2019;LR-LGK;;
L2017;LR-LGK;;
LZE;LR-LGK;;
L2015;LR-LGK;;
L2016;LR-LGK;;
L2014;LR-LGK;;
L2013;LR-LGK;;
LTNZ;LR-LGK;;
LGK;LR-12-LGKN;;
LGK N;LGK-2-LBZ;;
LLBS;LGK-LBZ;;
LPRL;LGK-LBZ;;
LGO;LGK-2-LBZ;;
LWH;LGK-LBZ;;
LKB;LGK-1-LBZ;;
LBZ;LGK-12-LM (nicht Bz 7);;
L3229;LBZ-LM;;
L3227;LBZ-LM;;
L3224;LBZ-LM;;
L3226;LBZ-LM;;
L3225;LBZ-LM;;
L3223;LBZ-LM;;
LMHR;LBZ-LM;;
L3220;LBZ-LM;;
L3222;LBZ-LM;;
LBRC;;LBZ-LM;LBZ-LM
