RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
LBRC;;LM-LBZ;LM-LBZ
L3222;LM-LBZ;;
L3220;LM-LBZ;;
LMHR;LM-LBZ;;
L3223;LM-LBZ;;
L3225;LM-LBZ;;
L3226;LM-LBZ;;
L3224;LM-LBZ;;
L3227;LM-LBZ;;
L3229;LM-LBZ;;
LBZ;LM-11-LGK (nicht Bz 4);;
LKB;LBZ-2-LGK;;
LWH;LBZ-LGK;;
LGO;LBZ-1-LGK;;
LPRL;LBZ-LGK;;
LLBS;LBZ-LGK;;
LGK N;LBZ-1-LGK;;
LGK;LGKN-11-LR;;
LTNZ;LGK-LR;;
L2013;LGK-LR;;
L2014;LGK-LR;;
L2016;LGK-LR;;
L2015;LGK-LR;;
LZE;LGK-LR;;
L2017;LGK-LR;;
L2019;LGK-LR;;
L2018;LGK-LR;;
L2020;LGK-LR;;
LJR;LGK-LR;;
L2024;LGK-LR;;
LNN;LGK-LR;;
LROD;LGK-LR;;
LRVB;LGK-1-LR;;
LR;LRVB-2-LD;;
L2627;LR-LD;;
L2625;LR-LD;;
L2626;LR-LD;;
L2628;LR-LD;;
L2631;LR-LD;;
L2629;LR-LD;;
L2632;LR-LD;;
L2630;LR-LD;;
LD  G;LR-13-LD;;
LD;LR-3-LBT;;
LDS;LD-LBT;;
L2635;LD-LBT;;
L2636;LD-LBT;;
L2741;LD-LBT;;
L2742;LD-LBT;;
LMAR;LD-LBT;;
LRH;LD-LBT;;
LRHU;LD-LBT;;
LJZ;LD-LBT;;
LWO;LD-1-LBT;;
LGPN;LD-LBT;;
LBT;LD-45/5/3-LDL;;
LBTS;LBT-1-LDL;;
L7088;LBT-LDL;;
LPRO;LBT-LDL;;
L7091;LBT-LDL;;
LQPR;LBT-LDL;;
L7692;LBT-LDL;;
L7695;LBT-LDL;;
L7699;LBT-LDL;;
L7696;LBT-LDL;;
LDL;LBT-1/41-LAH;;
LAH;LDL-61-LL;;
L7793;LAH-LRK;;
L7790;LAH-LRK;;
LZS;LAH-LRK;;
L7897;LAH-LRK;;
L7894;LDL-LNW;;
LRK;LDL-1-LNW;;
L7873;LRK-LNW;;
L7872;LRK-LNW N;;
LNW N;LBT-1-LL;;
