RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
LBRC;;LM-LBZ;LM-LBZ
L3222;LM-LBZ;;
L3220;LM-LBZ;;
LMHR;LM-LBZ;;
L3223;LM-LBZ;;
L3225;LM-LBZ;;
L3226;LM-LBZ;;
L3224;LM-LBZ;;
L3227;LM-LBZ;;
L3229;LM-LBZ;;
LBZ;LM-11-LGK (nicht Bz 4);;
LKB;LBZ-2-LGK;;
LWH;LBZ-LGK;;
LGO;LBZ-1-LGK;;
LPRL;LBZ-LGK;;
LLBS;LBZ-LGK;;
LGK N;LBZ-1-LGK;;
LGK;LGKN-11-LR;;
LTNZ;LGK-LR;;
L2013;LGK-LR;;
L2014;LGK-LR;;
L2016;LGK-LR;;
L2015;LGK-LR;;
LZE;LGK-LR;;
L2017;LGK-LR;;
L2019;LGK-LR;;
L2018;LGK-LR;;
L2020;LGK-LR;;
LJR;LGK-LR;;
L2024;LGK-LR;;
LNN;LGK-LR;;
LROD;LGK-LR;;
LRVB;LGK-1-LRG;;
LRG;LRVB-4-LRGO(Gl.41);;
LRG O;LRG-41-LRAW;;
LRAW;LRGO-2-LW;;
LKK;LR-LW;;
LCWG;LR-1-LW;;
LCW;LR-LW;;
LGB;LR-LW;;
LWP;LRAW-2-LW;;
LWBW;LRAW-1-LW;;
LWET;LRAW-LW;;
LW;LR-6-LF;;
LWND;LW-LF;;
LMUA;LW - LF;;
LELT;LW-1-LF;;
LJN;LW-1-LF;;
LAB;LW-2-LF;;
LQMO;LW-LF;;
LFMW;LW-1-LF;;
LF  N;;LW-5N-LFU;LW-5N-LFU
