RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
LF  N;;LFU(6207)-6N-LW;LFU(6207)-6N-LW
LFMW;LF-2-LW;;
LQMO;LF-LW;;
LAB;LF-1-LW;;
LJN;LF-2-LW;;
LELT;LF-2-LW;;
LMUA;LF-LW;;
LWND;LF-LW;;
LW;LF-7-LR;;
LWET;LW-LRAW;;
LWBW;LW-2-LRAW;;
LWP;LW-1-LRAW;;
LGB;LW-LR;;
LCW;LW-L;;
LCWG;LW-2-LR;;
LKK;LW-LR;;
LRAW;LW-1-LRGO;;
LRG O;LRAW-42-LRG;;
LRG;LRGO-5-LRVB;;
LRVB;LRG-2-LGK;;
LROD;LR-LGK;;
LNN;LR-LGK;;
L2024;LR-LGK;;
LJR;LR-LGK;;
L2020;LR-LGK;;
L2018;LR-LGK;;
L2019;LR-LGK;;
L2017;LR-LGK;;
LZE;LR-LGK;;
L2015;LR-LGK;;
L2016;LR-LGK;;
L2014;LR-LGK;;
L2013;LR-LGK;;
LTNZ;LR-LGK;;
LGK;LR-12-LGKN;;
LGK N;LGK-2-LBZ;;
LLBS;LGK-LBZ;;
LPRL;LGK-LBZ;;
LGO;LGK-2-LBZ;;
LWH;LGK-LBZ;;
LKB;LGK-1-LBZ;;
LBZ;LGK-12-LM (nicht Bz 7);;
L3229;LBZ-LM;;
L3227;LBZ-LM;;
L3224;LBZ-LM;;
L3226;LBZ-LM;;
L3225;LBZ-LM;;
L3223;LBZ-LM;;
LMHR;LBZ-LM;;
L3220;LBZ-LM;;
L3222;LBZ-LM;;
LBRC;;LBZ-LM;LBZ-LM
