RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
LMB;LM(6403)-2-LSB(6403) ab 7/2013;;
LMTW;LMB-LMSO;;
LMB F;LMB(6403)-LMSO;;
L5117;LMB-LMSO;;
L5115;LMB-LMSO;;
L5116;LMB-LMSO;;
L5118;LMB-LMSO;;
LMSA;LMB-LMSO;;
LMSO;LMB(6403)-1-LSB(6403);;
L5511;LMSO-LSB G;;
L5518;LMSO-LSB G;;
LSBO;LMSO-LSB G;;
LSB G;LMSO(6403)-1-LSB(Gl.1);;
LSB;LMSO-1-LSEE;;
L5528;LSB-LSEE;;
L5526;LSB-LSEE;;
LSBF;LSB-LSEE;;
L5525;LSB-LSEE;;
L5527;LSB-LSEE;;
L0129;LSB-LSEE;;
L0131;LSB-LSEE;;
LGND;LSB-LSEE;;
L0132;LSB-LSEE;;
L0130;LSB-LSEE;;
LSEE;LSB-LCBO;;
LCBO;LSEE-2101-LK;;
L0341;LCBO-LSAD;;
L0340;LCBO-LSAD;;
LSAD;LCBO-1-LK;;
LWU;LCBO-LK;;
LOSM;LCBO-LK;;
LK;LCBO-7/7-LKD(6403);;
LK  D;LK-7-LH;;
LK  C;LK-7-LH;;
LK  R;LK-7-LH;;
LAF;LK-LH;;
LWG;LK-LH;;
LSTF;LK-1-LH;;
LNM;LK-1-LH;;
LBI;LK-LH;;
LZBR;LK-LH;;
LHG M;LK-LH;;
