RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
LF  N;LW-5N-LFU;;
LF  U;LFN(6207)-5N/5M-LFU;;
LF  S;LFU-5s-BEB;;
LF  F;LFU-5s-BEB;;
BWK;LF-2-BEB;;
BBLW;LF-1-BEB;;
BZA;LF-BEB;;
BEB;LF-1-BRU;;
BP;BEB-BRU;;
BPFB;BEB-BRU;;
BPFA;BEB-BRU;;
BLH;BEB-1-BRU;;
BBAE;BEB-BRU;;
BRU;BEB-5-BHC;;
BSWB;BRU-BHC;;
BHC;BRU-2-BKN;;
BQLA;BHC-BKN;;
BLA;BHC-BKN;;
BSKL;BHC-2-BKN;;
BHW W;BHC-103-BKN;;
BHW;BHC-3a/3-BKN;;
BHWN;BHC-BKN;;
BKN;BHC-2-BSAE;;
BLOH;BHC-2-BSAE;;
BUS;BHC-1-BSAE;;
BKL;BHC-2-BSAE;;
BMC;BHC-1-BSAE;;
BPE;BHC-BSAE;;
BNY;BHC-1-BSAE;;
BSAE;BHC-1-BHG;;
BHG;;BHC-2-XPWE;BHC-2-XPWE
