RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
LLEL;;LL-2-LGC;LL-2-LGC
LRMF;LLEL-LGC;;
L1832;LLEL-LGC;;
L1834;LLEL-LGC;;
L1835;LLEL-LGC;;
L1837;LLEL-LGC;;
LMIZ;LLEL-LGC;;
L1836;LLEL-LGC;;
L1838;LLEL-LGC;;
LMKS;LLEL-2-LGC;;
LGL;LLEL-1-LGC;;
LQGL;LLEL-LGC;;
LKTU;LLEL-LGC;;
LDBA;LLEL-LGC;;
LDBB;LLEL-LGC;;
LDBG;LLEL-LGC;;
LGC;LLEL-408-UW;;
LA706;LGC-UW;;
LB805;LGC-UW;;
LA806;LGC-UW;;
LB905;LGC-UW;;
LB906;LGC-UW;;
LB915;LGC-UW;;
UW;LGC-501-UNM;;
U5011;UW-UNM;;
U5012;UW-UNM;;
U5015;UW-UNM;;
U5017;UW-UNM;;
ULL;UW-UNM;;
U5018;UW-UNM;;
U5016;UW-UNM;;
U5219;UW-UNM;;
U5222;UW-UNM;;
U5223;UW-UNM;;
U5226;UW-UNM;;
UNM;UW-521-USK;;
USPF;UNM-UGH;;
UKO;UNM-5402-USK;;
USK;UNM-UGH;;
UGHO;UNM-UGW RG;;
UQSK;USK-UGW GG;;
UGHS;USK-UGW GR;;
U0101;UGHS-UGW;;
U0103;UGHS-UGW;;
U0102;UGHS-UGW;;
U0104;UGHS-UGW;;
UCB;UGHS-2-UGW;;
U0105;UGHS-UGW;;
U0107;UGHS-UGW;;
U0206;UGHS-UGW;;
U0208;UGHS-UGW;;
UDG;UGHS-1-UGW;;
U0209;UGHS-UGW;;
U0211;UGHS-UGW;;
U0210;UGHS-UGW;;
U0212;UGHS-UGW;;
U0213;UGHS-UGW;;
U0215;UGHS-UGW;;
UPF;UGHS-UGW;;
U0317;UGHS-UGW;;
U0319;UGHS-UGW;;
U0314;UGHS-UGW;;
U0316;UGHS-UGW;;
UJZ;UGHS-UGW;;
U0318;UGHS-UGW;;
U0320;UGHS-UGW;;
UJS;UGHS-1-UGW;;
UJP;UGHS-UGW;;
U0321;UGHS-UGW;;
U0323;UGHS-UGW;;
U0322;UGHS-UGW;;
U0324;UGHS-UGW;;
UGW;UGHS-3-UO;;
UROT;UGW-US;;
U2030;UGW-US;;
U2028;UGW-US;;
U2027;UGW-US;;
U2029;UGW-US;;
USCH;UGW-US;;
U2034;UGW-US;;
U2032;UGW-US;;
UKA;UGW-US;;
U2031;UGW-US;;
U2033;UGW-US;;
UO;UGW-2101-US;;
UZE;UGW-US;;
U2136;UGW-US;;
U2138;UGW-US;;
U2135;UGW-US;;
U2137;UGW-US;;
UUS;UGW-US;;
UR  G;UGW-2201-US;;
UR;UGW-2301-US;;
URS;UGW-2401-US;;
U2443;UGW-US;;
U2445;UGW-US;;
U2544;UGW-US;;
U2546;UGW-US;;
USAP;UGW-US;;
US;;UGW-3-UHR;UGW-3-UHR
