RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
US;;UGW-3-UHR;UGW-3-UHR
UBZ;US-UHR;;
U2851;US-UHR;;
U2852;US-UHR;;
UKL;US-UHR;;
UKLD;US-UHR;;
UHR;US-UPR;;
UUZA;UHR-UPR;;
UUZ;UHR-UPR;;
U2857;UHR-UPR;;
U2958;UHR-UPR;;
UMG;UHR-UPR;;
UPR;UHR-2-NLUS;;
UQPR;UPR-NLUS;;
YLMPF;UPR-NLUS;;
N 591;UPR-NHM;;
N 592;UPR-NHM;;
NLUS;UPR-2-NHM;;
NSD;UPR-3-NHM;;
NFDF;UPR-202-NHM;;
NPR;UPR-3-NHM;;
N 74B;UPR-NHM;;
N 73C;UPR-NHM;;
NSTH;UPR-NHM;;
N172A;UPR-NHM;;
N 173;UPR-NHM;;
N 71C;UPR-NHM;;
NGD;UPR-NHM;;
N 72D;UPR-NHM;;
NK;UPR-3-NHM;;
NNEU;UPR-NHM;;
NKMU;UPR-NHM;;
N 157;UPR-NHM;;
N 57E;UPR-NHM;;
NKUE;UPR-2-NHM;;
N 54C;UPR-NHM;;
N 53C;UPR-NHM;;
NRZ;UPR-NHM;;
N 52B;UPR-NHM;;
N 51B;UPR-NHM;;
NHM;UPR-1-NLF;;
NMI;NHM-NLF;;
N 26F;NHM-NLF;;
N 25D;NHM-NLF;;
NLF;NHM-5-NBA H2;;
NSFN;NLF-402-NBA;;
N 491;NLF-NBA;;
NED;NLF-NBA;;
N 490;NLF-NBA;;
NZA;NLF-2-NBA;;
NEG;NLF-NBA;;
NBG;NHM-3-NBA;;
NHAL;NLF-501-NBA;;
NBA;;NLF-06-NF 3;NLF-06-NF 3
