RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
ROG E;;RO-P 25-RWÃ?;RO-P 25-RWÃ?
RWAE;ROG-RAP;;
RAPM;RO R-RAP R;;
RAP;RO R-P 1-RRA R;;
RAPR;ROP R-RRA R;;
R 52R;RAP-RRA;;
R 53R;RAP-RRA;;
R 50R;RAP-RRA;;
R 51R;RAP-RRA;;
RR;RAP-RRA;;
R148A;RAP-RRA;;
R 48R;RAP-RRA;;
R149A;RAP-RRA;;
R 49R;RAP-RRA;;
R 46R;RAP-RRA;;
R 47R;RAP-RRA;;
RAH;RAP-502-RRA;;
R 42O;RAP-RRA;;
R 43O;RAP-RRA;;
ROW;RAP R-P1-RRA;;
RBUE;RAP-RRA;;
R 36R;RAP-RRA;;
R 37R;RAP-RRA;;
R 34R;RAP-RRA;;
R134B;RAP-RRA;;
RBBL;RAP-RRA;;
R 35B;RAP-RRA;;
R 32R;RAP-RRA;;
RSZM;RAP-RRA;;
R133R;RAP-RRA;;
R 33R;RAP-RRA;;
R 30B;RAP-RRA;;
RSZN;RAP-RRA;;
R 31R;RAP-RRA;;
RBB;F-P502-RRA R;;
R 24K;RAP-RRA;;
R 25R;RAP-RRA;;
RHEB;RBB-RRA;;
RRAS;RAP RTB-RRA;;
R 20K;RAP-RRA;;
R 21K;RAP-RRA;;
R121K;RAP-RRA*1;;
R 18R;RAP-RRA;;
R 19R;RAP-RRA;;
RRA;RAP-P 4-ROH;;
ROH;RRA-P102-RK;;
RBIE;RRA-RK;;
RDRM;RRA-D-RK;;
RDUN;RRA-RK;;
RBAS;RRA-RK;;
RFM;RRA-RK;;
RDA;RRA-RKR;;
RKUW;RDA-RKR;;
RKR;;RDA-406/106-RKHA;RDA-406/106-RKHA
