RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
RFG;;RO-N 5-RML;RO-N 5-RML
RFGS;RO-N101-RML;;
RLS;RFG-RML;;
REBR;RF-RML;;
RSAL;RF-RB;;
R 25F;RF-RB;;
R 30F;RF-RB;;
RNO;RF-RML;;
RBKR;RF-N 2-RML;;
R239F;RF-RB;;
R240F;RF-RB;;
RHE;RF-N 2-RML;;
R255F;RF-RB;;
RBGG;RHE-RML;;
R260F;RF-RB;;
RML;RF-2/2-RB;;
RAUG;RML-RB;;
RSG N;RML-RSG;;
RSG;RML-1-RB;;
R289F;RF-RB;;
R290F;RF-RB;;
RBEL;RBEL-RRW;;
RRW;RML-N1-RB;;
RKES;RML-RB;;
RKEU;RML-RB;;
R312F;RML-RB;;
RIT;RML-RB;;
R315F;RML-RB;;
REF;RML-N3-RB;;
REI;RML-RW;;
RHL;RML-N708-RB;;
RW;;RML-N 8-RB;RML-N 8-RB
