RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
TK  O;;TSU-305-TK N;TSU-305-TK N
TK  N;TK O-86-TLU;;
TLU;TK N-1-TBM/F;;
TAX;TS/F-5-TBM/F;;
T378V;TS-TBM;;
TTM;TS/F-4/9H-TBM/F;;
T268V;TS-TBM;;
TBM;TS/F-10-TH;;
T293H;TBM-TH;;
T294H;TBM-TH;;
TBE;TBM-TH;;
TBEA;TBM-1-TH*1;;
TWH;TBM-1-TH;;
TKMA;TBM-TH*1;;
TKM;TBM-TH;;
T298H;TBM-TH;;
T299H;TBM-TH;;
TLN;TBM-2-TH;;
T 51H;TBM-TH;;
T 52H;TBM-TH;;
TNO;TBM-TH;;
T 53H;TBM-TH;;
T 54H;TBM-TH;;
TH  K;TBM-240-TH;;
TH  S;TBM-140-TH;;
TH  G;TBM-40-TH;;
TH;TBM-3-TO;;
THST;TH-TO;;
T 13H;TH-TO;;
T 14H;TH-TO;;
TN;TH-1-TO;;
T 18O;TH-TO;;
T 17O;TH-TO;;
TBK;TH-TO;;
TBKA;TH-TO;;
TBFS;TH-TO;;
TBF;TH-3-TO;;
TUG;TH-TO;;
T 21O;TH-TO;;
T 22O;TH-TO;;
THZ;TH-TO;;
TND;TH-TO;;
T 23O;TH-TO;;
T 24O;TH-TO;;
TSY;TH-TO;;
TZU;TH-3-TO;;
TML;TH-2-TO;;
TRO;TH-TC;;
T 31O;TH-TC;;
T 32O;TH-TC;;
TSE;TH-TO;;
T 33O;TH-TO;;
T 34O;TH-TO;;
TAD;TH-TO;;
TO;TH-4-TL;;
TRBG;TO-TL;;
T 40O;TO-TL;;
T 41O;TO-TL;;
TEU;TH-1-TL;;
T 43O;TO-TL;;
T 44O;TO-TL;;
YKMBE;TO-TL;;
TBOX;TO-241-TL;;
T 262;TO-TL;;
T 261;TO-TL;;
TKF;TO-102-TL;;
TL;TO-3-NWH;;
TGLH;TL-NWH;;
TGRB;TL-1-NWH;;
TGRS;TL-NWH;;
T 375;TL-NWH;;
TZI;TL-NWH;;
T 376;TL-NWH;;
TWIT;TL-2-NWH;;
TGRN;TL-NWH;;
TQGR;TL-NWH;;
TKU;TL-NWH;;
T 555;TL-NWH;;
T 556;TL-NWH;;
TGN;TL-643-NWR H1;;
T 675;TL-NWH;;
T 676;TL-NWH;;
TRCB;TL-NWH;;
NWHW;TL-5-NWH;;
NWHWU;TL-NWH;;
N 953;MTL-NWH;;
N952A;MTL-NWH;;
N 955;MTL-NWH;;
N954A;MTL-NWH;;
NWS;MTL-NWH;;
N 957;MTL-NWH;;
N 956;MTL-NWH;;
NWH;;NAN-16-FFU 6 U2;NAN-16-FFU 6 U2
