RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
EHRBN;EHRBE(2920)-850-875-E 32B;;
E 32B;EHRBN-EFMK;;
ERDB;EHRBN-EFMK;;
E 31M;EHRBN-EFMK;;
EFMK;EHRB-ELEC;;
EBCK;EFMK-2-ELEC;;
E21A;EFMK-ELEC;;
E22A;EFMK-ELEC;;
EMES;EFMK-2-ELEC;;
EDRS;EFMK-ELEC;;
E622A;EFMK-ELEC;;
E621A;EFMK-ELEC;;
ERIK;EFMK-601-ELEC;;
E641;EFMK-ELEC;;
E642;EFMK-ELEC;;
EHIT;EFMK-551-ELEC;;
ELEC;EFMK(2931)-EMSTG(2931);;
EMSTG;ELEC(2931)-254-EMSTP(2931);;
EMSTP;EMSTG(2931)-04-ELEN(2200);;
E 905;EMST-ELEN;;
E 904;EMST-ELEN;;
E 907;EMST-ELEN;;
E 906;EMST-ELEN;;
ESDM;EMST(2200)-923-ELEN(2200);;
E 935;EMST-ELEN;;
E938E;EMST-ELEN;;
E 937;EMST-ELEN;;
EEMS;EMST-953-ELEN;;
E532M;EMST-ELEN;;
EWBV;EMST-ELEN;;
E545L;EMST-ELEN;;
E 801;EMST-ELEN;;
E 802;EMST-ELEN;;
EBRO;EMST-435-401-ELEN;;
E 821;EMST-ELEN;;
E822B;EMST-ELEN;;
EKV;EMST-301-ELEN;;
ERIG;EMST-203-ELEN;;
E901L;EMST-ELEN;;
E902L;EMST-ELEN;;
E903L;EMST-ELEN;;
E904L;EMST-ELEN;;
ELEN;EMST-3-HO;;
E 921;ELEN-HO;;
E 922;ELEN-HO;;
E923L;ELEN-HO;;
E924H;ELEN-HO;;
YEHLH;ELEN-HO;;
H925N;ELEN-HNAH;;
H926N;ELEN-HNAH;;
HQNA;ELEN-HNAH;;
HNAH;ELEN-HHSB;;
H01NH;HNAH-HHSB;;
H02NH;HNAH-HHSB;;
HHSB;HNAH-2-HHRN;;
H21HH;HHSB-HHRN;;
H22HH;HHSB-HHRN;;
H23HH;HHSB-HHRN;;
H24HH;HHSB-HHRN;;
HHRN;HHSB(2200-1)-04-HORP(2950);;
HORP;HHRN(2950)-HOR S(1620);;
HOR S;HORP(1620-0)-290-HOR O(1620-0);;
HOR O;;HOR S(1620-0)-158-HLRI(1620-0);HOR S(1620-0)-158-HLRI(1620-0)
