RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
EHGGO;;EREH-241-EHOY;EREH-241-EHOY
EEIN;EREH-EHOY;;
EHGS;EHGE-EHOY;;
EHOY;EHGK-EWEF;;
EWEF;EHOY-3-ESRT(2843);;
ESRTF;EWEF- ESRT;;
ESRT;EKAL-2- EHZW 5;;
EHID;ESRT-4- EHZW;;
E016H;ESRT- EHZW;;
E 15E;ESRT- EHZW;;
E018H;ESRT- EHZW;;
EHZW;ESRT-201-EUN;;
E 20;EDO-ESOT;;
E 21;EDO-ESOT;;
E 22;EDO-ESOT;;
E23HU;EDO-ESOT;;
E 24;EDO-ESOT;;
E 25;EDO-ESOT;;
E 26;EDO-ESOT;;
EUN;EDO-1-EAU;;
E 33B;EUN-EAU;;
E 34B;EUN-EAU;;
E 35;EUN-EAU;;
E 36;EUN-EAU;;
EBEO;EUN-1-EAU;;
EAU;EUN-EHRB;;
E53B;EAU(2910)-EHRBD(2910);;
E54B;EAU(2910)-EHRBD(2910);;
ESMG;EAU(2910)-EHRBD(2910);;
EHRBD;ESMA(2910)-104-EHRBW;;
EHRBW;EHRBD(7439)-437-EHRBS;;
EHRBS;;EHRBW-437-560-EHRBR(7457);EHRBW-437-560-EHRBR(7457)
