RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
EHGGB;;EHGGO-240-EREH;EHGGO-240-EREH
EHGGW;EHGGO-160-EREH;;
EREH;EHGGW-EHGP;;
EHGP;EHG-402-KW;;
E916K;EHG-KW;;
E914K;EHG-KW;;
E917H;EHG-KW;;
E920K;EHG-KW;;
E921H;EHG-KW;;
E915H;EHG-KW;;
EENP;EHG-KW;;
E912K;EHG-KW;;
E913H;EHG-KW;;
KSWE;EHG-404-KW;;
E 260;EHG-KW;;
E 261;EHG-KW;;
KWO;EHG-2-KW;;
E 138;KWO-KWBA;;
E 139;E 138-KWBA;;
KWBA;KWO-KW(2550);;
E 136;KWBA-E 137;;
E 137;E 136-E 134;;
E 134;E 137-E 135;;
E 135;E 134-KW;;
KW;KWBA-1-KWV;;
E 32F;KW- KWV;;
E 333;KW-KWV;;
E 331;KW-KWV;;
E30WS;KW-KWV;;
E 329;KW-KWV;;
KWV;KW(2550)-002-KLID;;
E 326;KWV-KGU;;
E 599;E 326-KLID;;
KLID;KWV-KK;;
KGUI;KWV(2731)-506-KSO;;
K2817;KGUI-K 19H;;
K2819;K 520-KHAN;;
K2820;KGUI-KSO G;;
KHAN;KGUI-KSO;;
K2822;KHAN-K 17S;;
K2821;K 518-KSO;;
K2812;K 518-KSO;;
K2824;K 518-KSO;;
KSO;KGUI-1-KOPL 16;;
K2823;KSO-K 15L*1;;
K2826;K 16S-K 14S*1;;
K2825;K 16S-K 14S*1;;
K2628;K 15L-K 13L*1;;
K2627;K 15L-K 13L*1;;
K2630;K 14S-KLEL*1;;
KLEL;KSO-2-KOPL;;
K2629;KLEL-KOPL;;
K2632;KLEL-KOPL;;
K2431;KLEL-KOPL;;
K2434;KLEL-KOPL;;
K2436;KLEL-KOPL;;
KOPL;KLEL-39-KWER;;
KWER;KIMI-KLM;;
KLM;KOPL-303-KKANE;;
K011K;KOPL-KKANE;;
K022L;KOPL-KKANE;;
K001K;KOPL-KKANE;;
K002D;KOPL-KKANE;;
K003K;KOPL-KKANE;;
K004D;KOPL-KKANE;;
KKANE;KOPL-3-KKAN;;
KKANO;KKANE-14-KKANS;;
KKANN;;KKANE-14KKANN;KKANE-14KKANN
