RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
ESIE;EKT-055-EBZ;;
E 987;ESIE-EBZ;;
E 986;ESIE-EBZ;;
EEFD;ESIE-EBZ;;
ENDO;ESIE-EBZ;;
ENDN;ESIE-301-EBZ;;
EQND;ESIE-EBZ;;
EMUD;ESIE-EBZ;;
EBRB;ESIE-401-EBZ;;
EFBU;ESIE-EBZ;;
EKIR;ESIE-201-EBZ;;
EBZ;ESIE-106-002-KAU;;
ESCF;EBZ-KAU;;
ENDV;EBZ-501-KAU;;
EWIN;EBZ-602-KAU;;
EKAU;EBZ-KAU;;
E946A;EBZ-KAU;;
EEZK;EBZ-KAU;;
E 947;EBZ-KAU;;
EEZB;EBZ-KAU;;
KQAU;EBZ-KAU;;
KAU;EBZ-2-KSIB;;
E114R;KAU-KSIB;;
E113R;KAU-KSIB;;
KROS;201 KAU-KSIB;;
KSLA;KQAU-101-KT N 13;;
KDAT;KQAU-KT N;;
E112H;KT N-KQAU;;
E111H;KQAU-KT N;;
KHEC;KQAU-1-KT N;;
KEIT;KQAU-2-KT N;;
E 109;KQAU-KT N;;
KMES;KQAU-202-KT N;;
KBLB;KQAU-102-KT N;;
KHES;KQAU-KT N;;
KHEN;KQAU-201-KT N;;
K9010;KQAU-KT N;;
K9015;KQAU-KT N;;
KSIB;KQAU-101-KT N 10;;
K9000;KSIB-KT N;;
K9001;KSIB-KT N;;
K8010;KSIB-KT N;;
K8007;KSIB-KT N;;
KT;KSIB-1-KPW;;
KT  N;KSIB-1-KPR;;
KT  V;KSIB-1-KPR;;
K8132;KT-KPR;;
K8131;KT-KPR;;
K0958;KT-KPR;;
K0963;KT-KPR;;
K0954;KT-KPR;;
K0959;KT-KPR;;
K0950;KT-KPR;;
K0955;KT-KPR;;
KPR;KT-5-KGS;;
KGS;KT-KG H;;
KG  H;KGS-304-KG C;;
KG  C;;KG H-304KG C;KG H-304KG C
