RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
EHGV;;EHGVF-534-EHGK;EHGVF-534-EHGK
ERWH;EHGV-EHGK;;
EHGS;EHGV-EHGK;;
EHGK;EHGV-306-EFP;;
EHGH;EHG-402-EFP;;
E978;EHG-EFP;;
E981A;EHG-EFP;;
EBST;EHG-EFP;;
E980A;EHG-EFP;;
EHOG;EHG-002-042-EFP;;
ELE;EHG-143-103-EFP;;
ENCH;EHG-EFP;;
E989;EHG-EFP;;
E988;EHG-EFP;;
E991;EHG-EFP;;
E990;EHG-EFP;;
E992H;EHG-EFP;;
EALN;EHG-EFP;;
E993P;EHG-EFP;;
E995P;EHG-EFP;;
E994H;EHG-EFP;;
EMKE;EHG-EFP;;
E997P;EHG-EFP;;
EWHL;EHG-2-EFP;;
E1417;EHG-EFP;;
E1416;EHG-EFP;;
EPLT;EHG-832-802-EFP;;
E921A;EHG-EFP;;
E922A;EHG-EFP;;
E923F;EHG-EFP;;
E926P;EHG-EFP;;
E927F;EHG-EFP;;
E928P;EHG-EFP;;
EFP;EHG-2-EKT;;
E941G;EFP-EKT;;
E942F;EFP-EKT;;
EGVB;EFP-2-EKT;;
EMEG;EFP-101-EKT;;
EA;EFP-3-EKT;;
