RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
KKW F;;KKW S-4-KKNA;KKW S-4-KKNA
KKNA;KKW-KKN;;
KKN E;KKN A-KKN F;;
KKN F;KKN-201-KKL;;
KKL;KKN(2615)-805-KNOKA(2610);;
E533W;KKL-KN O;;
E534W;KKL-KN O;;
KKWO;KKN(2610)-403-KNOKA H2;;
KDBW;KKWO-KNOKA;;
E543D;KKWO-KNOKA;;
E 546;KKWO-KNOKA;;
KDBWN;KKWO KNOKA;;
E544B;KKWO-KNOKA;;
E 545;KKWO- KNOKA;;
KDO;KKWO-1-KNOKA;;
KNIV;KKWO-11-KNOKA;;
E 282;KKWO-KNOKA;;
E 281;KKWO-KNOKA;;
KNAL;KKWO-KNOKA;;
E 284;KKWO-KNOKA;;
KNO;KKWO-2-KNOKA;;
E 309;KKWO-KNOKA;;
E 312;KKWO-KNOKA;;
E 311;KKWO-KNOKA;;
E 313;KKWO-KNOKA;;
E 314;KKWO-KNOKA;;
KNSD;KKWO-KNOKA;;
KNOKA;KKWO-KN O;;
KN  O;KNOKA-1-KWEB 6;;
KWEB;KN O-1-KLOC;;
E 201;KWEB-KLOC;;
E 202;KWEB-KLOC;;
KMBO;KWEB-KLOC;;
E 3MK;KWEB- KLOC;;
E 4KM;KWEB-KLOC;;
KLOC;KWEB-KKRU;;
KBMW;KWEB-KKRU;;
KKRL;KWEB-5-KKRX;;
KKRX;KKRL-KMUH;;
KKRU;KKRX-5-KMUH 6;;
KMUH;KKRU-KTR;;
E803;E802T-E804T;;
E804T;E803-KTR;;
KTR;KMUH-6-KMEE;;
KMO G;KRH-1-KMEE;;
KMO;KRH-203-KX;;
KMEE;KRH-1-EDMO;;
E901B;KMEE-EMAF;;
E902M;KMEE-EMAF;;
EDBG;KMEE-1-MAF;;
E 189;KMEE-EMAF;;
EDME;KMEE-EMAF;;
E 182;KMEE-EMAF;;
EDMO;EDME-EOBRS;;
EOBRS;DMO-OBRW(2320);;
EOBRW;OBRS-OBRM(52);;
EOBRM;;OBRW52-OBRO68;OBRW52-OBRO68
