STA_GRUPPENID;SYSTEMTRASSENANFORDERUNGID;BSTID;LAUFNR
1;1;AXFW;1
1;1;A096P;2
1;1;A099F;3
1;1;AFR;4
1;1;AFW;5
1;1;ATP;6
1;1;A090F;7
1;1;A091N;8
1;1;AJ;9
1;1;A088F;10
1;1;A089N;11
1;1;ASY;12
1;1;ASW;13
1;1;A086S;14
1;1;A087N;15
1;1;AOS;16
1;1;A85OW;17
1;1;A084F;18
1;1;A083N;19
1;1;AR;20
1;1;AON;21
1;1;ABM N;22
1;1;ABM S;23
1;1;A078F;24
1;1;A077N;25
1;1;ANF;26
1;1;A075N;27
1;1;A076F;28
1;1;AN  G;29
1;1;AN;30
1;1;A084K;31
1;1;A083A;32
1;1;A082K;33
1;1;A081A;34
1;1;ABRS;35
1;1;A072K;36
1;1;A071A;37
1;1;AWST;38
1;1;A062A;39
1;1;A061W;40
1;1;ADH;41
1;1;A052K;42
1;1;A051A;43
1;1;AHOT;44
1;1;AEL N;45
1;1;AEL;46
1;1;A046K;47
1;1;A049A;48
1;1;A44EL;49
1;1;A047A;50
1;1;A042T;51
1;1;A045A;52
1;1;A043A;53
1;1;ATM;54
1;1;A040K;55
1;1;A039A;56
1;1;A038K;57
1;1;APD;58
1;1;A036K;59
1;1;A037A;60
1;1;A035A;61
1;1;AP;62
1;1;A034K;63
1;1;A033A;64
1;1;A032K;65
1;1;A031A;66
1;1;AQE;67
1;1;AE  N;68
1;1;AE  O;69
1;1;AE  F;70
1;1;ALOF;71
1;1;ABAG;72
1;1;ABGL;73
1;1;AHOR;74
1;1;A293H;75
1;1;A294H;76
1;1;AHROO;77
1;1;A517B;78
1;1;AOHA;79
1;1;AVL;80
1;1;A510A;81
1;1;A511B;82
1;1;AWLBA;83
1;1;A506A;84
1;1;AWLBS;85
1;1;A504A;86
1;1;A505B;87
1;1;A502A;88
1;1;A503B;89
1;1;AHAR;90
1;1;A194A;91
1;1;A195B;92
1;1;A193H;93
1;1;A192A;94
1;1;AQM G;95
1;1;A191B;96
1;1;AMD;97
1;1;AM  O;98
1;1;AM  N;99
1;2;AM  O;1
1;2;AMD;2
1;2;A191B;3
1;2;AQM G;4
1;2;A192A;5
1;2;A193H;6
