RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
FMM;;FMZ_A-602-FBUD;FMZ_A-602-FBUD
F640A;FMM-FBUD;;
F639A;FMM-FBUD;;
FBUD;FMM-801-FUR;;
F840A;FBUD-FUR;;
F017B;FBUD-FUR;;
FUR;FBUD-2-FIL;;
F016A;FUR-FIL;;
F015A;FUR-FIL;;
FHEI;FUR-2-FIL;;
F014A;FUR-FIL;;
F013A;FUR-FIL;;
F012B;FUR-FIL;;
F011B;FUR-FIL;;
F010C;FUR-FIL;;
F009C;FUR-FIL;;
FIL;FUR-3-FGAL;;
FGAL;FIL-4-FBGN;;
F006A;FGAL-FBGN;;
F005A;FGAL-FBGN;;
F004B;FGAL-FBGN;;
F003B;FGAL-FBGN;;
FBGG;FGAL-1-FBGN;;
F002C;FGAL-FBGN;;
F001C;FGAL-FBGN;;
FBGN;FGAL-302-FBGK-D2;;
FBGK;FBGN-102-2-FBGKV;;
FBGKV;FBGK-2-FNDH;;
F480B;FBGKV-FNDH;;
F479B;FBGKV-FNDH;;
F478A;FBGKV-FNDH;;
FTRE;FBGKV-2-FNDH;;
F477A;FBGKV-FNDH;;
F476A;FBGKV-FNDH;;
F475A;FBGKV-FNDH;;
FNDH;FBGKV-402-FBCH;;
FBCH;FNDH-2-FOBW;;
F004A;FBCH-FOBW;;
F003A;FBCH-FOBW;;
F002B;FBCH-FOBW;;
F001B;FBCH-FOBW;;
FOBW;FBCH-2-FURBS;;
F026A;FOBW-FURBS;;
F025A;FOBW-FURBS;;
FURBS;FOBW-2-FURBN;;
FURBN;FURBS-2-FSGO;;
FSGO;FURBN-201-FWER;;
F018B;FSGO-FWER;;
FWER;FSGO-301-KBOP;;
F080A;FWER-KBOP;;
KHIR;FWER-2-KBOP;;
K079A;FWER-KBOP;;
K078A;FWER-KBOP;;
K077A;FWER-KBOP;;
K076A;FWER-KBOP;;
K074B;FWER-KBOP;;
K075A;FWER-KBOP;;
KSAL;FWER-2-KBOP;;
K072D;FWER-KBOP;;
K073B;FWER-KBOP;;
K070A;FWER-KBOP;;
K071D;FWER-KBOP;;
KBOP;FWER-1-KRHE;;
K168A;KBOP-KRHE;;
K068A;KBOP-KRHE;;
K069A;KBOP-KRHE;;
K169A;KBOP-KRHE;;
K166A;KBOP-KRHE;;
K066A;KBOP-KRHE;;
K167A;KBOP-KRHE;;
K067A;KBOP-KRHE;;
K164A;KBOP-KRHE;;
K064A;KBOP-KRHE;;
K065A;KBOP-KRHE;;
K165A;KBOP-KRHE;;
K162A;KBOP-KRHE;;
K062A;KBOP-KRHE;;
K063A;KBOP-KRHE;;
K163A;KBOP-KRHE;;
KSPA;KBOP-1-KRHE;;
K160A;KBOP-KRHE;;
K060A;KBOP-KRHE;;
K061A;KBOP-KRHE;;
K161A;KBOP-KRHE;;
KRHE;KBOP-1-KKOB;;
K154A;KRHE-KKOB;;
K054A;KRHE-KKOB;;
K055D;KRHE-KKOB;;
K155A;KRHE-KKOB;;
K152A;KRHE-KKOB;;
K052E;KRHE-KKOB;;
K053A;KRHE-KKOB;;
K153A;KRHE-KKOB;;
KKOB;KRHE-202-KKO;;
K002A;KKOB-KKO;;
K001A;KKOB-KKO;;
KKO;KKOB-3-KKOL-2630;;
KKSM;KKO-2-KKOL;;
KKOL;KKO-1-KKOLM-2630;;
KKOLM;;KKOL-1-KKOLN-2630;KKOL-1-KKOLN-2630
