RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
FGB;;FG-202-FGL;FG-202-FGL
FGL;FGB-2-FLGS;;
F005C;FGL-FLGS;;
F006D;FGL-FLGS;;
F007C;FGL-FLGS;;
FLGS;FGB-1-FBZ;;
F009G;FLGS-FBZ;;
F010G;FLGS-FBZ;;
F011E;FLGS-FBZ;;
FKGS;FLGS-1-FBZ;;
F012D;FLGS-FBZ;;
F013D;FLGS-FBZ;;
F014D;FLGS-FBZ;;
F015D;FLGS-FBZ;;
F016C;FLGS-FBZ;;
F017C;FLGS-FBZ;;
F018C;FLGS-FBZ;;
FBZ;FLGS-2-FBNA;;
F019A;FBZ-FBNA;;
F020A;FBZ-FBNA;;
F021C;FBZ-FBNA;;
F022E;FBZ-FBNA;;
FOM;FBZ-FBNA;;
F023D;FBZ-FBNA;;
F024C;FBZ-FBNA;;
F025C;FBZ-FBNA;;
F027E;FBZ-FBNA;;
F029D;FBZ-FBNA;;
F026D;FBZ-FBNA;;
F028E;FBZ-FBNA;;
F030D;FBZ-FBNA;;
F031E;FBZ-FBNA;;
F033E;FBZ-FBNA;;
F032E;FBZ-FBNA;;
F034F;FBZ-FBNA;;
FBNA;FBZ-1-FFG;;
F035E;FBNA-FFG;;
F037D;FBNA-FFG;;
F036F;FBNA-FFG;;
FFG;FBNA-7-FAS;;
FFG H;FFG-1-FAS;;
FAS;FFG_H-1-FHWD;;
F103C;FAS-FHWD;;
F315A;FAS-FHWD;;
F316A;FAS-FHWD;;
FHWD;FAS-309-FBK;;
FOS;FHWD-FBK;;
FBK;FHWD-2-FHN;;
FHN;FHWD-511-FRW-Gz;;
FRW;FHN-FGK;;
F716A;FRW-FGK;;
F715B;FRW-FGK;;
FGK;FRW-702-FKLM-Gz;;
FQKL;FGK-FKLM;;
FKLM;FGK-802-FDET;;
F874A;FKLM-FDET;;
F873A;FKLM-FDET;;
FDET;FKLM-1-FKO;;
FRS;FDET-FKO;;
F944B;FDET-FKO;;
FKO;FDET-1-FSTE;;
FSTE;FKO-973-NAH;;
NAH A;FKO-503-NAH;;
NAH;;FKO-6-NHOE;FKO-6-NHOE
