RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
NAH;;NHOE-104-FKO-3660;NHOE-104-FKO-3660
NAH A;NAH-504-FKO;;
FSTE;NAH-934-FKO;;
FKO;FSTE-2-FDET;;
F944B;FKO-FDET;;
FRS;FKO-FDET;;
FDET;FKO-2-FKLM;;
F873A;FDET-FKLM;;
F874A;FDET-FKLM;;
FKLM;FDET-813-FGK-Gz;;
FQKL;FKLM-FGK;;
FGK;FKLM-704-FRW-8-D1;;
F715B;FGK-FRW;;
F716A;FGK-FRW;;
FRW;FGK-FHN;;
FHN;FRW-512-FHWD;;
FBK;FHN-1-FHWD;;
FOS;FBK-FHWD;;
FHWD;FBK-308-FAS;;
F316A;FHWD-FAS;;
F315A;FHWD-FAS;;
F103C;FHWD-FAS;;
FAS;FHWD-2-FFG_H;;
FFG H;FAS-2-FFG;;
FFG;FAS-8-FBNA;;
F036F;FFG-FBNA;;
F037D;FFG-FBNA;;
F035E;FFG-FBNA;;
FBNA;FFG-2-FBZ;;
F034F;FBNA-FBZ;;
F032E;FBNA-FBZ;;
F033E;FBNA-FBZ;;
F031E;FBNA-FBZ;;
F030D;FBNA-FBZ;;
F028E;FBNA-FBZ;;
F026D;FBNA-FBZ;;
F029D;FBNA-FBZ;;
F027E;FBNA-FBZ;;
F025C;FBNA-FBZ;;
F024C;FBNA-FBZ;;
F023D;FBNA-FBZ;;
FOM;FBNA-FBZ;;
F022E;FBNA-FBZ;;
F021C;FBNA-FBZ;;
F020A;FBNA-FBZ;;
F019A;FBNA-FBZ;;
FBZ;FBNA-1-FLGS;;
F018C;FBZ-FLGS;;
F017C;FBZ-FLGS;;
F016C;FBZ-FLGS;;
F015D;FBZ-FLGS;;
F014D;FBZ-FLGS;;
F013D;FBZ-FLGS;;
F012D;FBZ-FLGS;;
FKGS;FBZ-2-FLGS;;
F011E;FBZ-FLGS;;
F010G;FBZ-FLGS;;
F009G;FBZ-FLGS;;
FLGS;FBZ-3-FGL;;
F007C;FLGS-FGL;;
F006D;FLGS-FGL;;
F005C;FLGS-FGL;;
FGL;FLGS-3-FGB;;
FGB;;FGL-201-FG;FGL-201-FG
