RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
AROG;;HB-2-ABLZ(2200-1);HB-2-ABLZ(2200-1)
A561R;AROG(2200-1)-ABLZ(2200-1);;
A563R;AROG-ABLZ(2200-1);;
A562S;AROG-ABLZ(2200-1);;
A565R;AROG-ABLZ(2200-1);;
A564S;AROG-ABLZ(2200-1);;
A567R;AROG-ABLZ(2200-1);;
A566S;AROG-ABLZ(2200-1);;
ASL;AROG(2200)-2-ABLZ(2200);;
A571S;AROG(2200)-ABLZ(2200);;
A572L;AROG-ABLZ(2200-1);;
ALUB;AROG(2200)-2-ABLZ(2200);;
A581L;AROG-ABLZ(2200-1);;
A582T;AROG-ABLZ(2200-1);;
A583L;AROG-ABLZ(2200-1);;
A584T;AROG-ABLZ(2200-1);;
A585L;AROG-ABLZ(2200-1);;
A586T;AROG-ABLZ(2200-1);;
A587L;AROG-ABLZ(2200-1);;
A588T;AROG-ABLZ(2200-1);;
A589L;AROG-ABLZ(2200-1);;
A590T;AROG-ABLZ(2200-1);;
A591L;AROG-ABLZ(2200-1);;
A592T;AROG-ABLZ(2200-1);;
ATST;AROG(2200)-2-ABLZ(2200);;
A593S;AROG-ABLZ(2200-1);;
A594S;AROG-ABLZ(2200-1);;
A595S;AROG-ABLZ(2200-1);;
A596S;AROG-ABLZ(2200-1);;
A597S;AROG-ABLZ(2200-1);;
A598S;AROG-ABLZ(2200-1);;
ASP;AROG(2200)-3-ABLZ(2200) Gz;;
A599B;AROG-ABLZ(2200-1);;
A500B;AROG-ABLZ(2200-1);;
ABLZ;AROG(2200-1)-73/27-AM 10;;
A201B;ABLZ-AJF;;
A904A;ABLZ-AJF;;
A906A;ABLZ-AJF;;
A903B;ABLZ-AJF;;
A908A;ABLZ-AJF;;
AJF;ABLZ-AM;;
A922A;AJF-AM;;
A921B;AJF-AM;;
A924A;AJF-AM;;
A923B;AJF-AM;;
A1776;AJF-AM;;
A1777;AJF-AM;;
A1778;AJF-AM;;
AM  S;ABLZ-1734-AM  W(1284);;
AM  W;;AM S(1284-1)-1731/1210-AM O(1280-2);AM S(1284-1)-1731/1210-AM O(1280-2)
