RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
AM  O;;AM  N(1280-1)-2010/1038-AMD(1280-1) H2;AM  N(1280-1)-2010/1038-AMD(1280-1) H2
AMD;AM  O(1280-1)-AHAR(1280);;
A191B;AMD-AHAR(1280-1);;
AQM G;AM-AHAR;;
A192A;AMD-AHAR(1280-1);;
A193H;AMD-AHAR(1280-1);;
A195B;AMD-AHAR(1280-1);;
A194A;AMD-AHAR(1280-1);;
AHAR;AMD(1280)-029-AVL(1280);;
A503B;AHAR-AWLBA(1280-1);;
A502A;AHAR-AWLBA(1280-1);;
A505B;AHAR-AWLBA(1280-1);;
A504A;AHAR-AWLBA(1280-1);;
AWLBS;AHAR-AWLBA;;
A506A;AHAR-AWLBA(1280-1);;
AWLBA;AHAR(1280)-AVL(1280);;
A511B;AWLBA-AVL(1280-1);;
A510A;AWLBA-AVL(1280-1) Gz;;
AVL;AHAR(1280)-AOHA(1280);;
AOHA;AVL-AHROO;;
A517B;AOHA-AHROO;;
AHROO;AVL-101-AHBI;;
AHROF;AHROO-121-ABCH;;
A494R;AH-ABCH;;
A493R;AH-ABCH;;
AHBIA;AHROF(6100)-ABCH(6100);;
A490B;AH-ABCH;;
A489B;AH-ABCH;;
A488B;AH-ABCH;;
A487B;AH-ABCH;;
AALM;AHROF-ABCH;;
ABG G;AALM-711-ABCH;;
ABG;AALM-701-ABCH;;
AQRB;AH-ABCH;;
A484R;AH-ABCH;;
A483R;AH-ABCH;;
A482A;AH-ABCH;;
A481S;AH-ABCH;;
A480R;AH-ABCH;;
A479A;AH-ABCH;;
AAH A;AH-801-ABCH;;
A576W;AH-ABCH;;
A976A;AH-ABCH;;
AFRD;AH-ABCH;;
A577W;AH-ABCH;;
A977W;AH-ABCH;;
A476W;AH-ABCH;;
A477W;AH-ABCH;;
A474S;AH-ABCH;;
A475F;AH-ABCH;;
A472S;AH-ABCH;;
A473F;AH-ABCH;;
A470S;AH-ABCH;;
A471F;AH-ABCH;;
ASWA;AH-602-ABCH;;
A468S;ASWA-ABCH;;
A469S;AH-ABCH;;
A466M;AH-ABCH;;
A467M;AH-ABCH;;
AMUE;AH-ABCH;;
A464S;AH-ABCH;;
A465M;AH-ABCH;;
ASTT;AH-ABCH;;
ABCHG;AH-56/66-ABCH;;
ABCH;ABCHG(6100-2)-2-WHL;;
A5986;ABCH-WHL;;
YBWSB;ABCH-WHL;;
WQSA;ABCH-WBZ;;
W5987;ABCH-WSAH;;
WSAH;ABCH-WBZ;;
W5882;WSAH-WBZ;;
W5892;WSAH-WBZ;;
W5883;WSAH-WBZ;;
WBZ;ABCH-2-WBRH;;
W5884;WBZ-WBRH;;
W5895;WBZ-WBRH;;
W5885;WBZ-WBRH;;
W5782;WBZ-WBRH;;
W5792;WBZ-WBRH;;
W5783;WBZ-WBRH;;
WBRH;WBZ-2-WPRZ;;
W5682;WBRH-WPRZ;;
W5683;WBRH-WPRZ;;
WPRZ;WBRH-2-WHL;;
W5684;WPRZ-WHL;;
W5695;WPRZ-WHL;;
W5685;WPRZ-WHL;;
W5082;WPRZ-WHL;;
W5092;WPRZ-WHL;;
W5083;WPRZ-WHL;;
WHL;WBRH-12-WL;;
W5084;WHL-WJAS;;
W5595;WHL-WJAS;;
W5585;WHL-WJAS;;
WSTK;WHL-WJAS;;
W5582;WHL-WJAS;;
W5592;WHL-WJAS;;
W5583;WHL-WJAS;;
WJAS;WHL-2-WL;;
W5584;WJAS-WL;;
W5483;WJAS-WL;;
WL;WJAS-2/402-WGRB;;
W5486;WL-WGRB;;
W5487;WL-WGRB;;
W5484;WL-WGRB;;
W5485;WL-WGRB;;
W5382;WL-WGRB;;
W5383;WL-WGRB;;
WGRB;WL-2-WKWA;;
W5388;WGRB-WKWA;;
W5389;WGRB-WKWA;;
W5386;WGRB-WKWA;;
W5395;WGRB-WKWA;;
W5387;WGRB-WKWA;;
W5284;WGRB-WKWA;;
W5294;WGRB-WKWA;;
W5285;WGRB-WKWA;;
W5282;WGRB-WKWA;;
W5283;WGRB-WKWA;;
WQKW;WGRB-WKWA;;
WKWA;WGRB-2-WKT;;
W5290;WKWA-WKT;;
W5291;WKWA -WKT;;
W5288;WKWA-WKT;;
W5295;WKWA-WKT;;
W5289;WKWA-WKT;;
W5286;WKWA-WKT;;
W5287;WKWA-WKT;;
W5184;WKWA-WKT;;
W5194;WKWA-WKT;;
W5185;WKWA-WKT;;
W5182;WKWA-WKT;;
W5183;WKWA-WKT;;
WKT;WKWA-02-WDN;;
W5190;WKT-WDN;;
W5191;WKT-WDN;;
W5195;WKT-WDN;;
W5188;WKT-WDN;;
W5187;WKT-WDN;;
W3786;WKT-WDN;;
W3794;WKT-WDN;;
W3785;WKT-WDN;;
W3782;WKT-WDN;;
W3783;WKT-WDN;;
WDN;WKT-2-WW;;
W3788;WDN-WW;;
W3791;WDN-WW;;
W3795;WDN-WW;;
W3784;WDN-WW;;
W3787;WDN-WW;;
W3780;WDN-WW N;;
W3796;WDN-WW;;
W3779;WDN-WW;;
W3776;WDN-WW;;
W3775;WDN-WW;;
WW  N;WDN-42-WW;;
WW;;WW N-2-WWIL;WW N-2-WWIL
