RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
AM  O;;AM  N(1280-1)-2010/1038-AMD(1280-1) H2;AM  N(1280-1)-2010/1038-AMD(1280-1) H2
AMD;AM  O(1280-1)-AHAR(1280);;
A191B;AMD-AHAR(1280-1);;
AQM G;AM-AHAR;;
A192A;AMD-AHAR(1280-1);;
A193H;AMD-AHAR(1280-1);;
A195B;AMD-AHAR(1280-1);;
A194A;AMD-AHAR(1280-1);;
AHAR;AMD(1280)-029-AVL(1280);;
A503B;AHAR-AWLBA(1280-1);;
A502A;AHAR-AWLBA(1280-1);;
A505B;AHAR-AWLBA(1280-1);;
A504A;AHAR-AWLBA(1280-1);;
AWLBS;AHAR-AWLBA;;
A506A;AHAR-AWLBA(1280-1);;
AWLBA;AHAR(1280)-AVL(1280);;
A511B;AWLBA-AVL(1280-1);;
A510A;AWLBA-AVL(1280-1) Gz;;
AVL;AHAR(1280)-AOHA(1280);;
AOHA;AVL-AHROO;;
A517B;AOHA-AHROO;;
AHROO;AVL-111-AHOR;;
A294H;AHROO-AHOR;;
A293H;AHROO-AHOR;;
AHOR;AHROO-AWN;;
AWN F;AHOR-3-ARAL;;
A76WW;AH-AL;;
A74WR;AH-AL;;
A75WW;AH-AL;;
AOW;AH-AL;;
A72WR;AH-AL;;
A73RW;AH-AL;;
A71RW;AH-AL;;
ARAL;AH-1-AL;;
ARALB;AH-11-AL;;
A66RA;AH-AL;;
A065A;AH-AL;;
A064R;AH-AL;;
A063A;AH-AL;;
AQAH;AH-AL;;
A062R;AH-AL;;
A061A;AH-AL;;
A60RA;AH-AL;;
A059A;AH-AL;;
AAHR;AH-4-AL;;
AAHN;AH-AL;;
A53BA;AH-AL;;
AAHG;AH-AL;;
A052A;AH-AL;;
A51BA;AH-AL;;
ABAE;AH-2-AL;;
A046B;AH-AL;;
A45KB;AH-AL;;
AKUP;AH-AL;;
A44BO;AH-AL;;
A43OK;AH-AL;;
A042K;AH-AL;;
A41OK;AH-AL;;
AO;AH-7-AL;;
A32OR;AH-AL;;
A31RO;AH-AL;;
ARD;AH-2-AL;;
A022R;AH-AL;;
A21NR;AH-AL;;
AA112;AH-AL;;
AR111;AH-AL;;
ALRA;AO-AL(1120);;
AL;ALRA(1120)-2101-AWR 6;;
A01LW;AL-AWR;;
A05LW;AL-AWR;;
A02WL;AL-AWR;;
A06WL;AL-AWR;;
AWR;AL-ALKN;;
ALD A;AWR-ALKN;;
ALKN;AWR-ALSK;;
ALTG;AWR-ALSK;;
ALSK;;ALKN-ALSK;ALKN-ALSK
