RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
HBR E;;HBR M-HBB;HBR M-HBB
HBOS;HB-HBB;;
H211B;HB-HBB;;
H212B;HB-HBB;;
H215B;HB-HBB;;
H213B;HB-HBB;;
H214B;HB-HBB;;
H210B;HB-HBB;;
HBB;HB-5-HBH;;
H221R;HB-HBH;;
HQRT;HB-HBHV;;
H220B;HB-HBH;;
HRTH;HB-HBH;;
H223O;HB-HBH;;
H222R;HB-HBH;;
HOSS;HB-301-HBH;;
HOLB;HB-1-HBH;;
HLBR;HB-1-HBH;;
HSUB;HB-401-HBH;;
H801L;HB-HBH;;
H803L;HB-HBH;;
HLUN;HB-HBH;;
H802L;HB-HBH;;
H823L;HB-HBH;;
H814L;HB-HBH;;
H815L;HB-HBH;;
H805L;HB-HBH;;
H804L;HB-HBH;;
HLOX;HB-HBH;;
HLOA;HB-HBH;;
HQLO;HB-HBH;;
HBWU;HB-1-HBH;;
HBH;HB-207-HBHP;;
HBHL;HBH-402-HBHP;;
HBHLA;HBHL-HBHP;;
HBHP;;HBH-172/252/292-HBHSK;HBH-172/252/292-HBHSK
