RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
HBR A;;HBR W-1-HB(1401-2);HBR W-1-HB(1401-2)
HB;HBR A-1404/0504-HVAH;;
H175B;HB-HVAH;;
H176V;HB-HVAH;;
HVAH;HB-HBSB;;
HBSB;HVAH-1-HWUN;;
H178S;HB-HWUN;;
H277S;HBSB-HLGW;;
H177S;HB-HV;;
H176S;HB-HV;;
H175S;HB-HV;;
HBM;HBSB-10-HLGW;;
HQAC;HB-HLGW;;
H274B;HB-HLGW;;
H174B;HB-HV;;
H173M;HB-HV;;
H172A;HB-HV;;
H171M;HB-HV;;
HACH;HB-1-HV;;
HBDV;HB-121-HV;;
H162E;HB-HV;;
H161B;HB-HV;;
HETL;HB-201-HLGW;;
H112L;HB-HV;;
H111E;HB-HV;;
HLGW;HB-1-HV;;
H104V;HB-HV;;
H103L;HB-HV;;
H102V;HB-HV;;
H101L;HB-HV;;
HV;HB-11/1-HNBG;;
H96VW;HV-HNBG;;
H95WV;HV-HNBG;;
HWAB;HV-HDVD;;
H92WD;HB-HWUN;;
H91DW;HB-HWUN;;
HDVD;HV-1-HNBG;;
H82DE;HB-HWUN;;
H81ED;HB-HWUN;;
HETR;HDVD-1-HROR;;
H76ER;HB-HWUN;;
H75RE;HB-HWUN;;
H74ER;HB-HWUN;;
H73RE;HB-HWUN;;
H72ER;HB-HWUN;;
H71RE;HB-HWUN;;
HROR;HV-2-HNBG;;
H64RN;HB-HWUN;;
H63NR;HB-HWUN;;
H62RN;HB-HWUN;;
H61NR;HV-HNBG;;
HNBG;HV-3-HWUN;;
H56NL;HNBG-HWUN;;
H54NL;HNBG-HWUN;;
H53LN;HNBG-HWUN;;
H52NL;HNBG-HWUN;;
H51LN;HNBG-HWUN;;
HLBU;HNBG-1-HHAG;;
H42LH;HNBG-HWUN;;
H41HL;HNBG-HWUN;;
HHAG;HNBG-2-HWUN;;
HHGH;HNBG-HWUN;;
H36NE;HNBG-HWUN;;
H37NE;HNBG-HWUN;;
H35NE;HNBG-HWUN;;
H34HE;HNBG-HWUN;;
HEIV;HNBG-HWUN;;
H33NE;HNBG-HWUN;;
H32EN;HNBG-HWUN;;
H31NE;HNBG-HWUN;;
HNRU;HNBG-2-HWUN;;
HPOG;HNBG-2-HWUN;;
H13WP;HNBG-HWUN;;
H12PW;HNBG-HWUN;;
H11WN;HNBG-HWUN;;
HWUN;HNBG-2/102-HGUE(1751);;
H65WG;HWUN-HGUE;;
H62GW;HWUN-HGUE;;
HGUE;HWUN(1751)-HS  W(1750);;
HDED;HGUE-HS  W;;
H69WS;HWUN-HS  W;;
H68SD;HWUN-HS  W;;
H71WS;HWUN-HS  W;;
H70SD;HWUN-HS  W;;
HSR W;HGUE(1750-1)-006-HSR(1750-1);;
HSR;;HS  W(1750-1)-006-HS  O(1750-1);HS  W(1750-1)-006-HS  O(1750-1)
