RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
HSR;;HS  O(1750-2)-305-HS  W(1750-2);HS  O(1750-2)-305-HS  W(1750-2)
HSR W;HS  O(1750-2)-005-HGUE(1750-2);;
H70SD;HS  W-HWUN;;
H71WS;HS  W-HWUN;;
H68SD;HS  W-HWUN;;
H69WS;HS  W-HWUN;;
HDED;HS  W-HWUN;;
HGUE;HS  W-HWUN(1751);;
H62GW;HGUE-HWUN;;
H65WG;HGUE-HWUN;;
HWUN;HGUE(1751)-21/1-HNBG(1740);;
H11WN;HWUN-HNBG;;
H12PW;HWUN-HNBG;;
H13WP;HWUN-HNBG;;
HPOG;HWUN-1-HNBG;;
HNRU;HWUN-1-HNBG;;
H31NE;HWUN-HNBG;;
H32EN;HWUN-HNBG;;
H33NE;HWUN-HNBG;;
HEIV;HWUN-HNBG;;
H34HE;HWUN-HNBG;;
H35NE;HWUN-HNBG;;
H37NE;HWUN-HNBG;;
H36NE;HWUN-HNBG;;
HHGH;HWUN-HNBG;;
HHAG;HWUN-1-HNBG;;
H41HL;HWUN-HNBG;;
H42LH;HWUN-HNBG;;
HLBU;HHAG-2-HNBG;;
H51LN;HWUN-HNBG;;
H52NL;HWUN-HNBG;;
H53LN;HWUN-HNBG;;
H54NL;HWUN-HNBG;;
H56NL;HWUN-HNBG;;
HNBG;HWUN-2-HV;;
H61NR;HNBG-HV;;
H62RN;HWUN-HB;;
H63NR;HWUN-HB;;
H64RN;HWUN-HB;;
HROR;HNBG-1-HV;;
H71RE;HWUN-HB;;
H72ER;HWUN-HB;;
H73RE;HWUN-HB;;
H74ER;HWUN-HB;;
H75RE;HWUN-HB;;
H76ER;HWUN-HB;;
HETR;HROR-2-HDVD;;
H81ED;HWUN-HB;;
H82DE;HWUN-HB;;
HDVD;HNBG-2-HV;;
H91DW;HWUN-HB;;
H92WD;HWUN-HB;;
HWAB;HDVD-HV;;
H95WV;HNBG-HV;;
H96VW;HNBG-HV;;
HV;HNBG-2/12-HB 15;;
H101L;HV-HB;;
H102V;HV-HB;;
H103L;HV-HB;;
H104V;HV-HB;;
HLGW;HV-22/2-HB;;
H111E;HV-HB;;
H112L;HV-HB;;
HETL;HLGW-202-HB;;
H161B;HV-HB;;
H162E;HV-HB;;
HBDV;HV-122-HB;;
HACH;HV-2-HB;;
H171M;HV-HB;;
H172A;HV-HB;;
H173M;HV-HB;;
H174B;HV-HB;;
H274B;HLGW-HB;;
HQAC;HLGW-HB;;
HBM;HLGW-20-HB;;
H175S;HV-HB;;
H176S;HV-HB;;
H177S;HV-HB;;
H277S;HLGW-HBSB;;
H178S;HV-HB;;
HBSB;HWUN-2-HB;;
H183S;HBSB-HB;;
H184B;HBSB-HB;;
H185B;HBSB-HB;;
H186B;HBSB-HB;;
HB;HBSB-0606-HBR E;;
H302B;HB-HBB;;
H304B;HB-HBB;;
HBR E;;HB(1410)-HBB;HB(1410)-HBB
