RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
HLERW;;HLERN-301-HMI;HLERN-301-HMI
H118A;HLERW-HLI;;
H119A;HLERW-HLI;;
HMI;HLER-001/013-HWAM;;
H814W;HLERW-HLI;;
H813M;HLERW-HLI;;
H816W;HLERW-HLI;;
H815M;HLERW-HLI;;
H818W;HLERW-HLI;;
H817M;HLERW-HLI;;
HWAM;HMI-HLI;;
HWHN;HMI(1750)-HLI(1750);;
H884L;HWHN-HLI;;
H875L;HLI-HWHN;;
H894L;HWHN-HLI;;
H885L;HWHN-HLI;;
HLI R;HWHN(1750)-134-HLI(1750);;
HLI;HWHN(1750)-004-HWEZ(1760);;
H643B;HLI-HWEZ;;
HHBO;HLI-HWEZ;;
HEMA;HLI-HWEZ;;
HEMP;HHLH(1752)-HWEZ(1760);;
HRBG;HLI-3-HHM;;
HWEZ;HRBG(1760)-2-HHM(1760);;
H11WH;HWEZ-HHM;;
HHOL;HWEZ-HBEN;;
H12BH;HWEZ-HHM;;
HBEN;HWEZ-HHM;;
H13SE;HWEZ-HHM;;
H15SE;HWEZ-HHM;;
H14BE;HWEZ-HHM;;
H16BE;HWEZ-HHM;;
H17SE;HWEZ-HHM;;
HELV;HWEZ-HHM;;
H18SE;HWEZ-HHIG;;
HSPR;HWEZ-1-HHM;;
H31BM;HWEZ-HHM;;
HMDD;HWEZ-HHM;;
H32BD;HWEZ-HHM;;
H650H;HWEZ-HHM;;
H647M;HWEZ-HHM;;
HHM;HWEZ(1760)-102/2-HHIG(1760);;
H653H;HHM-HHIG;;
H652H;HHM-HHIG;;
HEMT;HHM-1-HHIG;;
H65EP;HHM-HHIG;;
H66PE;HHM-HHIG;;
HPRT;HHM-2-HHIG;;
HQPR;HHM-HHIG;;
HLUE;HHM-HHIG;;
H73LS;HHM-HHIG;;
H74SL;HHM-HHIG;;
H174L;HHM-HHIG;;
HSCI;HHM-2-HHIG;;
H82SS;HHM-HHIG;;
H81SS;HHM-HHIG;;
HSTM;HHM-2-HHIG;;
HBHE;HHM-HHIG;;
YDHHB;HBHE-HHIG;;
HHIG;HBHE-2-HLAN;;
H91HA;HHIG-HLAN;;
H92LH;HHIG-HLAN;;
HLAN;HHIG-4-HA;;
HAAT;HLAN-02-HA;;
HA;;HLAN-02-EPD;HLAN-02-EPD
