RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
HOR O;;HLRI(1620-0)-151/202H-HO U(1622-1);HLRI(1620-0)-151/202H-HO U(1622-1)
HO  U;HOR O(1622-1)-17-HOE(2992-1);;
HOHT;HO-HR;;
H41HE;HO-HR;;
H42EH;HO-HR;;
H43HE;HO-HR;;
H44EH;HO-HR;;
HOE;HO--HR;;
HQOE;HO-HR;;
HLOT;HO-1-HR;;
HVEP;HO-2-HR;;
H03VL;HO-HR;;
HLGG;HO-HR;;
H04IL;HO-HR;;
HI;HO-2-HR;;
HESH;HO-2-HR;;
HHTL;HESH-HR;;
H05HE;HHTL-HR;;
H06EH;HHTL-HR;;
H07HE;HHTL-HR;;
H08EH;HO-HR;;
HR;HO-1-HSAL;;
H2013;HR-HSAL;;
H2024;HR-HSAL;;
H2014;HR-HSAL;;
HQR;HR-HSAL;;
H05RS;HR-HSAL;;
H06SR;HR-HSAL;;
HSAL;HR-4II-HBTH;;
HSTT;HSAL-1-HBTH;;
HBTH;HSAL-2-HXB;;
H002B;HBTH-HXB;;
H001B;HBTH-HXB;;
HXB;HBTH-HXB;;
