RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
BLF;;BBGN-R-1-BTN;BBGN-R-1-BTN
B 105;BLF-BTN;;
B 206;BLF-BLD;;
B 210;BLF-BLD;;
BTHR;BLF-BTN;;
B 111;BLF-BTN;;
BTN;BLF-1-BLD;;
B123;BTN-BLD;;
B 224;BTN-BLD;;
B 228;BTN-BLD;;
B 129;BTN-BLD;;
B 133;BTN-BLD;;
B 234;BTN-BLD;;
B 238;BTN-BLD;;
BWOL;BTN-BLD;;
B 139;BTN-BLD;;
BLD;BTN-1-BJUE;;
BLD G;BTN-21-BJUE;;
B 153;BLD-BJUE;;
B 254;BLD-BJUE;;
B 157;BLD-BJUE;;
B 258;BLD-BJUE;;
B 161;BLD-BJUE;;
B 262;BLD-BJUE;;
BJUEG;BLD-21-BJUE;;
BJUE;BLD-21/1-LW;;
B4173;BJUE-LW;;
B4174;BJUE-LW;;
YBLDN;BJUE-LW;;
LNF;BJUE-1-LW;;
L4195;BJUE-LW;;
L4194;BJUE-LW;;
LBD;BJUE-LW;;
L4273;BJUE-LW;;
L4275;BJUE-LW;;
L4370;BJUE-LW;;
L4368;BJUE-LW;;
LQBD;BJUE-LW;;
LKBZ;BJUE-LW;;
L4375;BJUE-LW;;
L4374;BJUE-LW;;
L4377;BJUE-LW;;
L4378;BJUE-LW;;
LZA;BJUE-1-LW;;
L4394;BJUE-LW;;
LBZG;BJUE-LW;;
L4395;BJUE-LW;;
LZGL;BJUE-LW;;
L4867;BJUE-LW;;
L4868;BJUE-LW;;
LW;BJUE-1/12-LPT H1;;
LPT;LW-1/11-LBT H1;;
L5697;LW-LBT;;
L5698;LW-LBT;;
LBWZ;LW-LBT;;
LBWU;LW-LBT;;
L5885;LW-LBT;;
L5882;LW-LBT;;
LRA;LW-1-LBT;;
LG;LW-1-LBT;;
LBGK;LW-1-LBT;;
LMD;LW-1-LBT;;
L6395;LW-LBT;;
L6794;LW-LBT;;
LBT;LW-41/1-LH;;
LBTA;LBT-LH;;
L7161;LBT-LH;;
LROI;LBT-7101-LH;;
L7169;LBT-LH;;
LBN;LBT-LH;;
L7172;LBT-LH;;
L7175;LBT-LH;;
L7268;LBT-LH;;
LLBG;LBT-7201-LH;;
L7271;LBT-LH;;
L7274;LBT-LH;;
L7277;LBT-LH;;
LHM;LBT-LH;;
L7280;LBT-LH;;
L7473;LBT-LH;;
L7472;LBT-LH;;
LHGB;LBT-7401-LHG;;
LHG M;LBT-149-LHGU;;
LHG U;LHGM-149/38-LHG;;
LHG;;LHGU-38-LHAL(6349);LHGU-38-LHAL(6349)
