RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
BKP;;BSST-6-BFRH;BSST-6-BFRH
BFHG;BKP-BRD;;
BRDF;BFRH-BERK;;
B6109;BFRH-BERK;;
B6110;BFRH-BERK;;
B6211;BFRH-BERK;;
BQER;BKP-BERK;;
BERK;BKP-1-BFS;;
B6213;BERK-BFS;;
B6263;BERK-BFS;;
B6214;BERK-BFS;;
B6303;BERK-BFS;;
B6302;BERK-BFS;;
B6304;BERK-BFS;;
BFS;BERK-1-BHGB;;
B6305;BFS-BHGB;;
B6306;BFS-BHGB;;
B6307;BFS-BHGB;;
B6308;BFS-BHGB;;
B6409;BFS-BHGB;;
B6410;BFS-BHGB;;
B6411;BFS-BHGB;;
B6412;BFS-BHGB;;
B6413;BFS-BHGB;;
B6414;BFS-BHGB;;
BHGB;BFS-BFUW;;
B6415;BHGB-BFUW;;
B6416;BHGB-BFUW;;
B6417;BHGB-BFUW;;
B6418;BHGB-BFUW;;
B6419;BHGB-BFUW;;
B6420;BHGB-BFUW;;
B6521;BHGB-BFUW;;
B6522;BHGB-BFUW;;
B6523;BHGB-BFUW;;
B6524;BHGB-BFUW;;
BFUW;BHGB-1-BBKR;;
B6525;BFUW-BBKR;;
B6526;BFUW-BBKR;;
B6527;BFUW-BBKR;;
B6728;BFUW-BBKR;;
B6729;BFUW-BBKR;;
B6730;BFUW-BBKR;;
BBKR;BFUW-1-BBSN;;
B6731;BBKR-BBSN;;
B6732;BBKR-BBSN;;
B6733;BBKR-BBSN;;
B6734;BBKR-BBSN;;
B6735;BBKR-BBSN;;
B6836;BBKR-BBSN;;
B6837;BBKR-BBSN;;
B6838;BBKR-BBSN;;
B6839;BBKR-BBSN;;
B6840;BBKR-BBSN;;
BBSN;BBKR-1-BPIL;;
B6841;BBKR-BPIL;;
B6842;BBKR-BPIL;;
B6843;BBKR-BPIL;;
B6844;BBKR-BPIL;;
B6945;BBKR-BPIL;;
BJF;BBSN-BPIL;;
B6946;BBSN-BPIL;;
B6947;BBSN-BPIL;;
B6948;BBSN-BPIL;;
BPIL;BBSN-1-BFRS;;
B6949;BPIL-BFP;;
B6950;BPIL-BFP;;
B7051;BPIL-BFP;;
B7052;BPIL-BFP;;
B7053;BPIL-BFP;;
B7054;BPIL-BFP;;
BFRS;BPIL-BFP;;
B7055;BPIL-BFP;;
B7056;BPIL-BFP;;
B7057;BPIL-BFP;;
B7058;BPIL-BFP;;
B7059;BPIL-BFP;;
B7060;BPIL-BFP;;
BFP;BPIL-412-BODK RG;;
BODK;;BFP-5-BXF GR;BFP-5-BXF GR
