RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
MIH;;MTL-3-MH;MTL-3-MH
M 594;MTL-MH;;
M 592;MIH-MH;;
M 591;MTL-MH;;
MBAE;MIH-3-MH;;
M 589;MIH-MH;;
MPBU;MIH-1-MH;;
M 587;MIH-MH;;
M 588;MIH-MH;;
M 584;MIH-MH;;
M 586;MIH-MH;;
M 585;MIH-MH;;
M 583;MIH-MH;;
M 582;MIH-MH;;
M 581;MIH-MH;;
MRBI;MIH-3-MH;;
M 580;MIH-MH;;
M 579;MIH-MH;;
MUHO;MIH-2-MH;;
M 571;MIH-MH;;
M 574;MIH-MH;;
MPF;MIH-1-MH;;
M 564;MIH-MH;;
M 563;MIH-MH;;
MRS;MIH-402-MH;;
M 556;MIH-MH;;
M 555;MIH-MH;;
MPD;MIH-MH;;
M 554;MIH-MH;;
M 553;MIH-MH;;
MPE;MIH-3-MH;;
M 548;MIH-MH;;
M 547;MIH-MH;;
M 546;MIH-MH;;
M 545;MIH-MH;;
M 544;MIH-MH;;
M 543;MIH-MH;;
MRM;MIH-3-MH;;
M 540;MIH-MH;;
M 539;MIH-MH;;
M 538;MIH-MH;;
M 537;MIH-MH;;
M 536;MIH-MH;;
M 535;MIH-MH;;
M 534;MIH-MH;;
M 533;MIH-MH;;
MDA;MIH-5-MH;;
M 528;MIH-MH;;
M 527;MIH-MH;;
MKF;MIH-2-MN  F;;
MN  F;MKF N-MN  M;;
MN  M;MN  F-MN  T;;
MN  T;MN  M-MN  A;;
MN  A;;MN  T-608-MN  A;MN  T-608-MN  A
