RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
MN  A;;MN  T-608-MN  A;MN  T-608-MN  A
MN  L;MN  A(7928)-MMBH;;
MMBH;MN  L-4-MJK;;
MFM;MMBH-1-MJK;;
MJK;MFM-233/263-MDFG;;
MEGS;MJK-MTR;;
MDFG;MJK-1-MTR;;
MTR;MJK(5560)-5-MWTR(5560);;
MWTR;MTR(5560)-1-MGB(5510);;
M 215;MTR-MGB;;
M 216;MTR-MGB;;
MHR;MTR(5510)-1-MGB;;
M 217;MTR-MGB;;
M 218;MTR-MGB;;
M 219;MTR-MGB;;
M 220;MTR-MGB;;
M221B;MTR-MGB;;
M222A;MTR-MGB;;
M223B;MTR-MGB;;
M224A;MTR-MGB;;
M225B;MTR-MGB;;
M 226;MTR-MGB;;
MZO;MTR(5510)-201-MGB;;
M 229;MTR-MGB;;
M 230;MTR-MGB;;
MKO;MTR-5-MGB;;
M 233;MTR-MGB;;
M 234;MTR-MGB;;
MGB;MTR(5510)-5-MRO;;
M 235;MGB-MRO;;
M 238;MGB-MRO;;
M 237;MGB-MRO;;
M 240;MGB-MRO;;
MAG;MGB-2-MRO;;
M 244;MGB-MRO;;
M 243;MGB-MRO;;
M 245;MGB-MRO;;
M 246;MGB-MRO;;
MOM;MGB-3-MRO;;
M249A;MGB-MRO;;
M250A;MGB-MRO;;
M251A;MGB-MRO;;
M252A;MGB-MRO;;
M253A;MGB-MRO;;
M254A;MGB-MRO;;
MGK;MGB-MRO;;
MGKU;MGB-MRO;;
M257B;MGB-MRO;;
M 258;MGB-MRO;;
MRO;MH-4-MPR 10;;
MART;MRO-1-MPR;;
MALD;MRO-1-MPR;;
M 321;MRO-MPR;;
M322A;MRO-MPR;;
M323A;MRO-MPR;;
M326A;MRO-MPR;;
M 324;MRO-MPR;;
M 327;MRO-MPR;;
M 328;MRO-MPR;;
MBEF;MRO-3-MFL;;
M 331;MRO-MPR;;
MRG;MRO-MPR;;
M 333;MRO-MPR;;
M 334;MRO-MPR;;
M 332;MRO-MPR;;
MPR;MRO-2401-MFL;;
M 251;MRO-MTS;;
M 252;MRO-MTS;;
M 253;MRO-MTS;;
MBN;MRO-MTS;;
M 254;MRO-MTS;;
MROT;MRO-MTS;;
M257C;MRO-MTS;;
M258B;MRO-MTS;;
MUS;MRO-302-XASB;;
M259B;MRO-MTS;;
M 260;MRO-MTS;;
MRUM;MRO-MTS;;
M 263;MRO-MTS;;
M 363;MRO-MTS;;
MBE;MRO-MTS;;
M 262;MRO-MTS;;
M 265;MRO-MTS;;
M 264;MRO-MTS;;
MTS;MRO-2-XASB;;
M 267;MTS-MFL;;
MHFG;MTS-MFL;;
MLT;MTS-MFL;;
M271B;MTS-MFL;;
M 270;MTS-MFL;;
M272B;MTS-MFL;;
M 273;MTS-MFL;;
M 274;MTS-MFL;;
MTO;MRO-602-XASB;;
M 278;MTS-MFL;;
M 277;MTS-MFL;;
M 280;MTS-MFL;;
M 281;MTS-MFL;;
M 282;MTS-MFL;;
MFL;MTS-2-XASB;;
MXSZ;MFL-XASB;;
XALIW;MFL-902-XASB;;
XA 12;MFL-XASB;;
XA 11;MFL-XASB;;
XA 21;MFL-XASB;;
XA 22;MFL-XASB;;
XATX;MFL-932-XASB;;
XASBG;MFL-XASB;;
XAAI;MFL-962-XASB;;
XAML;MFL-982-XASB;;
XASB;;MFL-423XASB;MFL-423XASB
