RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
XAKN;;XAWL-501-MRO;XAWL-501-MRO
MXKU;XAKN-MRO;;
MKI;XAKN-3402-MRO;;
M 296;MKI-MRO;;
M 295;MKI-MRO;;
MOD;MKI-MRO;;
MODU;MKU-MKI;;
M 291;MKI-MRO;;
M 292;MKI-MRO;;
MFI;MKI-3303-MRO;;
MFLI;MKI-MRO;;
MBB;MKI-3202-MRO;;
M 286;MKI-MRO;;
M 285;MKI-MRO;;
MRA;MKI-3102-MRO;;
MPFR;MKI-MRO;;
M282A;MKI-MRO;;
M281A;MKI-MRO;;
MARS;MKI-2-MART;;
MART;MARS-1-MPR;;
MALD;MRO-1-MPR;;
M 321;MRO-MPR;;
M322A;MRO-MPR;;
M323A;MRO-MPR;;
M326A;MRO-MPR;;
M 324;MRO-MPR;;
M 327;MRO-MPR;;
M 328;MRO-MPR;;
MBEF;MRO-3-MFL;;
M 331;MRO-MPR;;
MRG;MRO-MPR;;
M 333;MRO-MPR;;
M 334;MRO-MPR;;
M 332;MRO-MPR;;
MPR;MRO-2401-MFL;;
M 251;MRO-MTS;;
M 252;MRO-MTS;;
M 253;MRO-MTS;;
MBN;MRO-MTS;;
M 254;MRO-MTS;;
MROT;MRO-MTS;;
M257C;MRO-MTS;;
M258B;MRO-MTS;;
MUS;MRO-302-XASB;;
M259B;MRO-MTS;;
M 260;MRO-MTS;;
MRUM;MRO-MTS;;
M 263;MRO-MTS;;
M 363;MRO-MTS;;
MBE;MRO-MTS;;
M 262;MRO-MTS;;
M 265;MRO-MTS;;
M 264;MRO-MTS;;
MTS;MRO-2-XASB;;
M 267;MTS-MFL;;
MHFG;MTS-MFL;;
MLT;MTS-MFL;;
M271B;MTS-MFL;;
M 270;MTS-MFL;;
M272B;MTS-MFL;;
M 273;MTS-MFL;;
M 274;MTS-MFL;;
MTO;MRO-602-XASB;;
M 278;MTS-MFL;;
M 277;MTS-MFL;;
M 280;MTS-MFL;;
M 281;MTS-MFL;;
M 282;MTS-MFL;;
MFL;MTS-2-XASB;;
MXSZ;MFL-XASB;;
XALIW;MFL-902-XASB;;
XA 12;MFL-XASB;;
XA 11;MFL-XASB;;
XA 21;MFL-XASB;;
XA 22;MFL-XASB;;
XATX;MFL-932-XASB;;
XASBG;MFL-XASB;;
XAAI;MFL-962-XASB;;
XAML;MFL-982-XASB;;
XASB;;MFL-423XASB;MFL-423XASB
