RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
MN  A;;MN  T-608-MN  A;MN  T-608-MN  A
MN  L;MN  A(7928)-MMBH;;
MMBH;MN  L-4-MJK;;
MFM;MMBH-1-MJK;;
MJK;MFM-233/263-MDFG;;
MEGS;MJK-MTR;;
MDFG;MJK-1-MTR;;
MTR;MJK(5560)-5-MWTR(5560);;
MWTR;MTR(5560)-1-MGB(5510);;
M 215;MTR-MGB;;
M 216;MTR-MGB;;
MHR;MTR(5510)-1-MGB;;
M 217;MTR-MGB;;
M 218;MTR-MGB;;
M 219;MTR-MGB;;
M 220;MTR-MGB;;
M221B;MTR-MGB;;
M222A;MTR-MGB;;
M223B;MTR-MGB;;
M224A;MTR-MGB;;
M225B;MTR-MGB;;
M 226;MTR-MGB;;
MZO;MTR(5510)-201-MGB;;
M 229;MTR-MGB;;
M 230;MTR-MGB;;
MKO;MTR-5-MGB;;
M 233;MTR-MGB;;
M 234;MTR-MGB;;
MGB;MTR(5510)-5-MRO;;
M 235;MGB-MRO;;
M 238;MGB-MRO;;
M 237;MGB-MRO;;
M 240;MGB-MRO;;
MAG;MGB-2-MRO;;
M 244;MGB-MRO;;
M 243;MGB-MRO;;
M 245;MGB-MRO;;
M 246;MGB-MRO;;
MOM;MGB-3-MRO;;
M249A;MGB-MRO;;
M250A;MGB-MRO;;
M251A;MGB-MRO;;
M252A;MGB-MRO;;
M253A;MGB-MRO;;
M254A;MGB-MRO;;
MGK;MGB-MRO;;
MGKU;MGB-MRO;;
M257B;MGB-MRO;;
M 258;MGB-MRO;;
MRO;MH-5-XAKN 10;;
MARS;MRO-1-MKI;;
M281A;MRO-MKI;;
M282A;MRO-MKI;;
MPFR;MRO-MKI;;
MRA;MRO-3101-MKI;;
M 285;MRO-MKI;;
M 286;MRO-MKI;;
MBB;MRO-3201-MKI;;
MFLI;MRO-MKI;;
MFI;MRO-3301-MKI;;
M 292;MRO-MKI;;
M 291;MRO-MKI;;
MODU;MRO-MKU;;
MOD;MRO-MKI;;
M 295;MRO-MKI;;
M 296;MRO-MKI;;
MKI;MRO-3401-XAKN;;
MXKU;MRO-XAKN;;
XAKN;;MRO-502-XAWL;MRO-502-XAWL
